Subject,A,B
1,27.72,27.56
2,28.28,26.32
3,27.16,28.17
4,26.76,27.73
5,26.81,29.78
6,27.44,28.48
7,27.99,26.65
8,27.74,26.78
9,27.91,25.94
10,26.75,28.74
11,27.25,28.71
12,27.95,27.23
13,28.38,26.12
14,26.35,27.78
15,28.66,27.23
16,29.68,26.01
17,27.84,26.99
18,27.88,27.11
19,28.08,27.87
20,26.08,28.68
21,27.78,28.18
22,26.51,29.55
23,29.07,27.7
24,28.58,26.37
25,26.62,28.64
26,27.44,27.62
27,26.13,29.04
28,27.57,27.49
29,28.58,27.19
30,29.16,26.97
31,27.88,27.19
32,28.5,26.96
33,27.42,27.7
34,27.29,28.25
35,28.57,27.07
36,28.31,26.54
37,27.05,27.82
38,28.47,28.17
39,27.13,28.13
40,26.5,28.88
41,26.97,27.14
42,28.85,25.95
