Subject,A,B
1,54.43,53.65
2,54.68,54.71
3,56.65,56.5
4,54.28,54.58
5,55.42,55.98
6,54.09,54.06
7,53.4,53.63
8,52.49,52.71
9,56.68,55.51
10,55.05,54.45
11,54.84,55.43
12,53.47,53.66
13,53.51,54.21
14,55.57,55.71
15,53.5,53.85
16,55.9,55.3
17,54.78,54.88
18,53.82,54.63
19,55.82,55.51
20,55.43,54.26
21,54.66,53.99
22,53.53,54.19
23,53.37,54.93
24,55.57,55.98
25,53.2,53.9
26,53.49,53.95
27,53.71,52.57
28,53.4,53.96
29,53.36,54.06
30,54.91,55.17
31,53.92,53.83
32,55.63,54.37
33,53.97,53.17
34,54.73,55.15
35,54.5,53.38
36,53.59,52.63
37,54.76,54.46
38,54.21,54.51
39,56.25,55.34
40,54.88,53.83
41,54.36,55.4
42,54.92,54.58
43,54.49,54.74
44,55.98,55.69
45,53.35,52.59
46,53.77,54.22
47,55.48,55.21
48,53.4,53.93
49,53.26,53.67
50,54.25,52.35
51,56.88,54.1
52,54.62,54.16
53,54.04,55.65
54,53.65,53.6
55,54.9,54.16
56,54.99,53.93
57,54.69,55.28
58,55.04,54
59,54.69,54.25
60,55.45,54.7
61,55.53,54.07
62,54.98,53.98
63,54.79,53.98
64,53.94,55.32
65,53.8,53.59
66,54.98,54.41
67,53.21,53.17
68,54.35,53.64
69,53.95,54.53
70,56.17,55.35
71,54.95,53.69
72,55.12,54.16
73,54.6,54.94
74,55.67,54.67
75,54.36,53.3
76,53.87,54.6
77,54.36,54.59
78,54.53,54.75
79,54.55,53.48
80,54.24,54.32
81,53.62,53.89
82,54.9,54.54
83,53.86,52.78
84,55.8,56.45
85,54.24,55.7
86,53.78,52.73
87,54.21,55.33
88,53.85,53.9
89,56.12,55.2
90,55.7,54.64
91,54.74,54.73
92,52.46,53.04
93,55.63,53.65
94,54.06,54.97
95,52.06,52.36
96,53.39,54.6
97,53.69,54.66
98,55.33,53.89
99,52.93,53.96
100,54.45,52.64
101,53.72,54.09
102,55.51,54.74
103,54.92,53.66
104,54.05,54.37
105,52.09,52.93
106,53.16,53.84
107,55.29,55.08
108,55.56,55.53
109,54.31,53.29
110,52.29,53.31
111,55.18,55.2
112,53.81,54.05
113,52.7,53.1
114,53.95,54.99
115,54.77,55.68
116,54.5,55.54
117,54.63,56.4
118,53.84,53.74
119,54.1,54.89
120,53.01,53.93
121,54.2,54.86
122,53.87,54.38
123,53.27,54.25
124,53.91,51.73
125,54.22,54.58
126,53.33,53.09
127,55.53,54.31
128,55.56,54.67
129,55.41,55.48
130,54.07,54.8
131,55.31,54.5
132,54.67,54.91
133,54.08,53.78
134,53.46,53.27
135,55.55,54.1
136,55.21,54.41
137,53.34,54.93
138,55.17,55.35
139,56.07,55.44
140,55.3,54.11
141,55.67,55.23
142,52.79,52.7
143,55.13,56.4
144,54.7,54.64
145,55.11,53.82
146,53.19,53.58
147,54.14,53.83
148,55.73,54.12
149,54.93,55.72
150,53.41,53.49
151,53.19,54.29
152,54.27,54.74
153,54.79,52.89
154,53.95,52.62
155,55.75,54.8
156,53.24,53.57
157,54.31,53.58
158,54.85,53.42
159,57.51,55.4
160,53.63,52.53
161,53.22,54.51
162,54.93,54.57
163,54.98,56.16
164,54.11,54.8
165,53.96,56.24
166,54.35,55.91
167,55.21,53.94
168,54.06,54.9
169,54.69,54.12
170,53.17,55.38
171,57.37,56.95
172,54.45,53.11
173,55.01,55.44
174,54.44,55.7
175,53.13,53.78
176,55.29,54.68
177,54.1,54.85
178,55.58,55.75
179,54.36,54.31
180,53.88,53.5
181,54.9,54.89
182,55.72,55.8
183,53.49,54.46
184,53.96,53.74
185,52.95,52.48
186,54.73,53.75
187,54.46,55.14
188,53.92,53.85
189,54.78,54.13
190,55.41,55.39
191,53.45,53.32
192,55.38,53.43
193,54.96,54.02
194,53.36,52.82
195,54.04,54.18
196,55.18,55.2
197,55.38,53.6
198,54.78,53
199,55.76,55.72
200,53.98,52.76
201,55.72,56.88
