Subject,A,B
1,48.08,50.61
2,49.84,49.55
3,49.42,49.72
4,49.44,49.58
5,49.17,51.22
6,50.22,49.54
7,50.4,47.65
8,50.7,48.04
9,50.21,48.81
10,49.08,48.85
11,48.54,50.78
12,49.23,51.08
13,49.44,50.21
14,47.52,51.23
15,48.38,50.65
16,49.33,49.29
17,49.93,47.71
18,49.32,49.31
19,48.8,48.08
20,48.08,51.42
21,48.02,51.03
22,49.19,49.48
23,50.1,49.05
24,48.59,50.7
25,49.72,48.55
26,47.7,49.74
27,50.24,48.56
28,50.86,49.57
29,48.36,49.57
30,48.2,52.02
31,50.1,48.56
32,51.63,49.46
33,49.14,49.67
34,48.7,49.51
35,49.24,49.13
36,50.97,48.07
37,49.68,49.9
38,48.92,49.06
39,49.55,49.4
40,49.96,49.66
41,49.6,49.17
42,49.8,48.33
43,50.75,47.91
44,49.74,49.58
45,49.19,50.68
46,50.7,48.01
47,49.62,48.69
48,49.41,48.62
49,49,48.87
50,50.93,49.49
51,49.74,50.17
52,48.55,50.22
53,50.63,48.26
54,50.32,48.35
55,49.94,49.88
56,49.16,48.65
57,48.12,48.17
58,48.28,50.71
59,48.75,50.73
60,49.36,48.56
61,50.49,48.92
62,49.28,50.02
63,49.5,49.41
64,49.73,47.64
65,49.31,49.19
66,49.15,50
67,49.44,49.11
68,51.64,47.6
69,48.9,49.53
70,47.94,51.54
71,49.28,50.96
72,49.84,49.55
73,52.38,48.22
74,48.2,49.99
75,49,49.5
76,48.79,48.92
77,49.74,47.82
78,49.49,48.86
79,49.11,48.9
80,48.36,49
81,50.35,49.73
82,47.74,50.06
83,49.47,48.89
84,49.84,49.87
85,49.78,48.6
86,50.84,49.31
87,49.76,49.92
88,49.77,48.77
89,49.82,50.8
90,50.29,49.38
91,48.85,49.58
92,47.01,51.41
93,49.13,48.51
94,49.84,49.66
95,49.85,47.45
96,47.42,50.76
97,51.16,48.54
98,50.3,48.97
99,49.99,47.96
100,49.19,49.16
101,50.18,49.35
102,48.33,51.17
103,49.4,47.66
104,49.54,50.07
105,49.87,49.15
106,48.12,49.66
107,50.23,48.06
108,48.91,49.67
109,48.3,50.59
110,49.37,49.46
111,49.9,48.32
112,49.92,49.48
113,51.27,48.24
114,48.29,50.55
115,47.23,50.04
116,50.1,48.13
117,49.8,49.14
118,48.84,49.32
119,49.19,49.15
120,48.95,49.73
121,50.28,47.9
122,49.46,50.33
123,49.08,50.25
124,50.4,49.7
125,47.69,49.95
126,49.41,49.7
127,50.11,49.79
128,48.06,51.02
129,49.9,50.48
130,50.3,49.96
131,50.75,47.24
132,49.33,49.01
133,49.04,50.39
134,51.98,47.68
135,49.74,50.15
136,49.38,48.96
137,49.27,49.64
138,50.53,47.71
139,49.15,48.61
140,49.09,50.06
141,47.71,49.01
142,47.5,51.4
143,49.24,48.65
144,50.32,48.72
145,48.68,50.53
