id,time_hr
A3QvxRgK,5.820755692868436
J91YTNb0,6.383985427903932
eRykDKu0,4.561145463535995
qLXE8dFJ,6.309188314934868
IuJgMwwd,6.242941578361639
oeckDXj3,6.19991270753391
baVDGbjX,6.0650498636370775
05OGDJUH,5.529140823089335
QfMDx09j,6.534724032024826
nCISaQ5d,5.373238043304782
Cf8w8rXH,6.931255053056288
VbyRuOvk,5.518365764792348
q9tUPApl,6.508644536912112
peP4KO37,6.358987639565622
Z6AhjJOx,7.110953337246064
lVVfbpra,5.889455211072391
t8Vfbp9O,5.431620320326504
RazHCCiR,6.437064079068546
tGbgVdcv,6.491994499103374
tP0uJmII,6.7202939466278035
jC8ooW1k,6.047869720387718
qQtmlYfV,6.600558743659175
QZAjSm5e,6.286502733464347
rDTPdobW,6.477115810520359
msKUlBss,6.805514013896711
hLMJSUfg,5.481968105152236
L4s6vyOZ,6.355643314190596
ueR3ev5N,6.246641593161315
4Tu8e5hH,6.359355221140432
lXuxFRxB,6.022998069695134
Q0BhJBFi,5.38454281220251
ezU2FSlf,7.053951272658103
3ZN77Wma,6.07489408283091
OVy9Gvfr,5.868137408273885
34Ex6g4K,6.639493017899271
upvBmlWV,4.812216266039304
TnKm9kjH,5.63506444465878
QVoWpwv2,5.786333380509988
nMa84XwN,6.456141808251931
pfaZJZTC,6.429544331429533
UjNiqty1,6.584748322619617
vRrAQI4a,4.850043636843519
R7BtRTQt,6.38519897394465
w0nShVxF,5.971145808995686
WcNjQSXH,7.008700802913444
JZK366r9,6.696579617427873
6BGNztaw,5.585304577280416
MW2CJJ0d,6.66063149288007
1YwUY0hJ,5.704063018600283
Nog35b8W,5.954261553888925
aMt4UzhP,5.632134806429685
HKMT2Mtn,6.614686036059608
DLmefXDG,4.673571477290373
lsDAaEgO,6.116084345908784
xlf3tV5N,7.153338249163557
utVz6sq6,5.983088464755948
bhfHAK9W,6.076944802903652
Tziwkvge,7.277015945304609
vBxMQ5u3,6.361677473967729
sJFC8Npr,6.58945548979694
mXTVgwD7,6.201333284261353
ROrOXRcF,5.583463874145556
Snax4Rk1,7.245116246211102
N7ZkIDOI,6.29187080814102
9OyqoPjY,7.295024407073765
9TEMssKN,6.547364559167748
