subject,condition,values
44,A,811.57
2,B,739.75
42,A,850.52
7,A,768.1
18,B,866.3
45,B,950.99
6,B,874.57
30,B,1058.69
38,A,920.26
13,A,827.27
3,A,765.36
11,B,748.04
1,B,801.71
28,B,874.98
35,B,805.32
15,A,858.03
21,B,780.63
20,B,1252.83
12,B,897.5
47,B,813.86
31,B,811.46
17,B,1030.15
29,A,841.65
23,B,899.22
46,B,857.54
24,B,729.34
4,A,818.79
10,B,843.55
22,A,847.85
43,A,776.46
14,A,937.14
39,B,898.73
32,B,820.48
8,A,857.51
9,B,826.73
40,B,757.26
25,B,826.71
37,B,718.45
36,B,806.59
33,A,794.7
41,A,796.01
5,A,848.69
26,A,836.74
16,B,957.62
27,B,1002.9
19,A,818.71
34,A,840.2
