subject,condition,values
1,A,809.43
38,A,750.91
42,B,840.65
139,B,407.38
121,B,837.24
135,B,763.31
97,B,645.01
91,B,505.37
145,B,801.09
105,B,527.81
128,B,564.6
62,B,719.03
98,B,797.13
120,B,570.18
8,A,738
37,A,814.1
54,A,786.1
5,B,711.63
82,B,527.76
130,B,794.85
87,B,883.06
39,A,746.11
15,B,617.53
140,B,876.18
70,A,761.48
90,A,786.19
57,B,611.65
23,B,735.78
55,A,749.87
112,B,751.03
109,A,716.39
59,B,896.29
61,A,729.05
95,B,698.83
26,B,920.55
9,B,899.51
34,A,760.48
96,B,518.41
71,B,662.33
136,B,820.07
77,A,789.68
21,B,764.48
129,A,774.13
80,B,754.01
51,B,558.52
118,A,758.39
146,A,732.51
27,B,613.53
20,B,806.71
52,B,696.8
88,A,750.29
28,A,745.88
67,B,810.82
107,B,856.53
65,B,808.47
60,B,814.07
30,B,623.57
111,A,784.26
36,A,789.3
68,A,745.62
144,B,673.99
103,A,787.04
84,A,751.81
143,B,844.49
7,A,725.9
18,B,690.4
48,B,764.47
41,A,793.24
89,B,908.99
29,A,819.31
106,B,458.34
115,A,778.03
123,A,756.26
133,A,758.32
110,A,714.98
142,A,727.39
72,B,744.78
10,A,778.14
125,A,797.85
92,A,813.96
114,B,795.1
35,A,744.61
83,B,671.85
116,B,900.21
13,B,654.11
47,A,756.59
85,A,767.34
81,B,751.99
78,A,745.18
76,A,732.21
79,A,783.89
134,B,549.22
99,B,842.11
33,A,798.77
6,A,751.85
137,A,751.92
104,A,768.97
75,B,729.86
119,A,782.22
86,A,757.08
93,B,867.31
43,A,741.64
53,A,753.59
58,B,691.42
94,B,768.76
17,B,891
63,A,787.76
127,B,846
22,B,825.75
73,B,816.05
113,B,805.34
126,B,913.59
122,B,920.64
50,B,895.75
44,A,792.8
108,A,789.63
69,A,751.01
124,B,684.47
132,B,891.27
2,B,860.78
46,A,788.95
49,B,452.66
16,A,744.8
3,B,551.36
64,A,707.79
56,B,821.84
100,A,774.78
32,A,761.78
66,B,721.51
40,B,805.63
24,B,680.78
138,B,845.61
19,A,743.83
25,B,742.41
131,B,506.35
141,A,795.93
45,B,874.26
14,A,726.7
74,B,765.9
12,A,760.3
4,B,812.83
11,A,733.84
101,A,770.27
102,B,904.39
117,A,760.64
31,A,776.75
