subject,condition,values
78,B,64.77
145,B,82.51
54,B,80.7
111,A,105.14
118,B,85.96
60,B,141.96
37,A,153.52
162,B,203.59
71,A,175.15
79,B,121.31
159,B,194.22
123,B,156.74
58,B,118.72
62,B,149.78
133,A,122.56
76,B,106.52
146,B,139.89
29,B,140.17
22,A,149.22
154,B,121.8
144,B,262.86
6,A,107.69
160,B,192.87
126,B,88.07
35,B,97.26
143,A,147.24
129,A,182.62
75,A,49.63
8,B,117.44
124,B,132.01
166,A,167.99
50,B,137.14
107,B,180.82
156,B,100.65
7,B,85.41
97,B,167.38
115,B,145.37
95,B,164.88
27,A,49.49
67,A,111.27
120,A,101.94
134,B,210.33
66,B,237.73
169,B,79.54
5,A,65.4
116,B,153.14
19,B,114.19
25,B,92.04
61,A,98.09
161,A,194.74
119,B,178.18
91,B,97.42
42,B,145.74
137,B,99.45
106,A,128.44
88,B,197.8
31,A,37.29
148,B,80.71
105,B,153.44
136,A,183.74
147,B,199.34
18,B,147.59
125,A,61.22
45,A,137.14
99,B,119.01
24,A,187.82
131,A,155.52
64,A,155.58
53,A,170.03
33,B,137.11
142,B,109
3,B,138.91
72,A,112.82
141,B,198.58
164,B,158.59
150,A,79.94
93,B,98.7
153,B,81.43
130,A,179.9
36,B,141.05
87,B,115.46
127,B,223.41
34,B,107.33
114,B,138.25
13,A,217.57
140,B,114.07
90,B,129.28
28,B,200.23
15,B,105.76
84,B,158.89
102,B,158.64
46,B,171.98
2,B,78.09
113,A,132.26
49,B,96.82
81,B,125.93
163,A,64.51
103,A,125.02
112,A,132.79
152,B,96.32
149,A,195.95
56,A,230.67
77,A,55.16
157,B,78.21
11,A,179.87
38,B,176.96
17,A,71.74
138,B,101.91
92,A,174.11
165,A,202.5
26,B,163.97
82,B,131.38
73,B,140.59
47,A,138.44
23,A,168.04
132,A,142.72
4,B,133.18
70,B,148.82
48,B,76.5
170,B,130.58
55,B,182.84
104,A,57.23
96,A,76.13
65,A,148.56
89,A,82.79
80,B,190.53
94,A,102.79
16,B,108.14
20,A,174.61
168,B,177.53
122,A,71.92
139,A,153.43
52,B,88.71
171,A,95.58
98,B,136.06
110,B,76.08
39,A,165.67
40,A,139.69
158,A,38.19
68,A,146.78
117,B,228.97
151,B,139.26
121,B,97.42
1,B,96.25
63,A,140.55
108,A,69.65
41,A,155.36
10,B,139.56
83,A,124.63
32,B,114.45
135,A,180.83
109,A,145.99
69,B,122.41
74,A,138.8
86,B,112.45
14,B,158.25
21,B,180.24
44,B,90.18
167,B,81.7
101,A,117.82
12,B,113.88
51,A,170.88
9,B,119.44
128,A,137.95
57,A,96.23
30,B,127.1
85,B,91.79
155,B,156.09
59,B,136.03
100,B,155.83
43,A,149.2
