subject,condition,values
127,A,610.51
60,B,650.92
9,B,658.81
216,A,649.97
224,B,636.95
21,A,698.99
187,B,665.15
206,B,622.98
204,B,678.58
157,A,686.58
73,B,674.33
235,A,642.9
75,B,681.58
29,B,673.68
202,B,672.06
57,B,680.61
133,B,668.92
10,B,657.69
108,B,698.19
7,B,688.47
207,A,688.21
95,B,658.35
117,A,676.22
200,A,649.07
228,A,681.09
182,A,791.97
169,B,676.35
50,A,627.43
213,A,700.52
72,A,697.09
80,B,690.93
70,A,671.28
138,A,714.2
184,B,678.92
40,B,705.77
28,A,570.74
19,B,662.74
220,A,622.78
121,B,653.18
237,A,699.29
71,B,705.85
118,A,717.11
37,B,659.69
141,B,662.22
245,B,692.98
63,B,643.27
210,B,671.74
34,B,694.04
238,A,636.91
131,B,624.94
47,A,713.07
33,A,602.35
136,B,683.85
188,A,652.6
150,B,641.49
232,B,662.76
171,B,683.8
45,A,616.87
24,B,652.73
101,B,704.94
109,B,680.27
51,B,663.58
142,A,708.43
23,B,717.53
66,A,738.84
18,B,695.93
194,B,691.52
193,B,666.93
163,B,737.08
53,A,653.9
78,B,640.96
96,A,768.33
104,B,685.69
106,B,689.66
155,B,693.13
120,B,657.04
89,B,687.61
115,A,741.46
119,B,659.96
209,B,632.41
27,B,700.94
15,B,680.7
242,A,628.85
156,A,606.82
145,B,678.74
130,B,704.06
111,B,650.59
199,A,591.99
176,B,664.2
191,B,718.37
93,A,666.04
20,B,644.81
116,B,704.03
82,A,718.54
239,A,634.08
208,A,627.03
189,A,706.23
161,A,680.15
177,B,675.57
103,B,705.42
39,A,599.17
38,A,656.46
139,A,680.98
13,B,668.76
166,B,677.3
225,B,668.66
230,A,643.79
62,A,629.5
1,A,651.11
132,A,607.48
146,B,679.13
105,A,526.24
12,B,683.93
30,A,723.73
229,B,667.22
123,B,685.32
196,B,673.49
172,A,585.91
5,B,675.09
231,A,661.31
68,B,709.49
147,B,708.52
124,B,657.05
92,A,657.08
212,B,678.1
173,A,664.2
164,B,643.23
44,B,699.99
83,A,676
195,B,698.13
98,B,665.85
76,A,669.83
69,A,780.49
185,B,680.81
113,B,692.3
135,B,713.06
55,B,681.68
2,B,715.32
180,A,641.26
218,A,648.58
91,A,607.39
234,A,640.85
4,B,638.92
222,A,576.59
148,A,657.43
81,A,646.84
174,A,695.52
84,B,692.77
17,B,686.64
175,B,663.59
205,B,657.52
87,B,718.74
126,A,700.2
110,B,670.13
90,B,689.05
217,A,566.77
129,A,592.16
41,B,668.9
114,B,667.41
140,A,594.66
227,B,667.33
221,B,696.13
134,A,581.1
223,A,682.13
49,A,683.94
154,B,692.5
6,B,655.29
8,B,648.92
36,B,673.27
198,B,671.1
153,B,636.45
42,B,671.12
192,A,711.51
31,A,580.86
52,B,706.12
158,B,669.17
128,B,653.06
35,A,638.47
102,A,645
88,A,644.42
197,B,686.56
56,A,669.91
22,A,656.96
143,B,698.85
246,B,653.4
241,B,678.19
167,A,662.56
181,B,632.78
59,B,653.32
94,A,741.67
125,B,681.26
203,A,632.65
137,B,700.74
162,B,682.62
152,B,667.81
43,B,682.56
233,A,673.62
165,B,645.38
54,B,690.13
159,A,672.33
149,A,677.58
25,B,714.44
86,A,607.62
48,A,682.22
58,B,681.92
61,B,684.48
211,A,664.04
183,B,722.52
14,B,666.02
219,B,665.94
32,B,721.3
170,A,685.05
11,A,686.01
65,B,646.97
112,A,639.42
16,A,700.8
186,B,670.58
100,A,707.58
144,A,614.26
244,B,659.94
74,B,687.93
240,A,735.35
97,B,642.01
46,B,645.71
201,B,658.16
160,A,681.78
67,B,678.91
215,B,655.66
26,B,662.87
122,B,670.42
236,B,608.63
107,B,695.41
226,B,683.34
168,B,717.67
64,B,694.46
99,A,752.21
151,B,673.93
85,A,625.8
190,A,607.79
77,A,674.02
79,B,665.47
214,B,689.01
243,B,692.63
3,B,680.04
178,B,715.33
179,A,634.46
