subject,condition,values
20,B,663.51
132,B,773.83
111,A,888.69
92,A,811.72
107,B,1065.26
88,A,790.07
156,B,977.63
172,B,960.05
52,B,877.71
53,B,887.62
108,B,701.14
149,A,821.16
99,A,859.19
96,A,830.99
86,A,775.59
37,A,813.8
166,A,825.95
94,B,836.96
160,B,896.58
7,B,681.52
50,A,870.27
64,B,810.45
117,A,823.84
89,A,719.85
118,A,867.95
41,A,831.76
36,B,759.03
84,B,900.66
167,A,799.13
87,A,838.36
114,B,874.02
65,B,763.92
14,A,804.54
6,A,714.35
143,A,776.17
33,A,954.65
46,A,822.54
134,A,860.54
138,A,832.62
16,B,707.58
74,A,860.65
13,A,867.37
136,A,876.61
25,A,880.55
154,B,1109.11
105,B,1106.67
21,B,725.43
121,B,898.45
141,B,741.8
44,A,864.63
109,B,681.12
78,A,876.08
67,B,800.17
119,B,711.92
158,A,911.06
171,A,817.36
51,B,684.07
28,A,751.44
3,A,752.68
60,A,808.29
120,B,730.9
11,B,975.1
170,B,693.86
161,A,839.11
62,B,675.89
58,B,816.01
22,B,800.88
56,A,792.57
32,B,701.37
126,B,707.02
59,B,765.73
146,B,985.3
82,A,806.94
30,A,858.8
10,A,761.69
70,B,685.63
12,A,801.23
81,A,855.35
130,B,1318.41
43,A,759.9
104,A,775.56
110,B,778.19
176,A,824.89
137,A,821.83
23,B,1174.23
47,B,865.38
173,A,834.9
168,B,849.33
66,A,836.49
140,A,757.1
19,B,826.08
174,A,856.89
76,B,693.35
133,A,708.76
40,A,740.72
125,B,749.25
77,A,921.2
39,A,955.18
80,A,815.06
73,B,839.97
101,A,877.44
145,A,777.91
61,A,878.53
79,A,820.08
131,A,813.6
4,B,791.79
48,A,780.35
38,A,775.07
9,B,727.34
142,A,806.17
5,A,820.96
63,B,724.27
35,B,1093.26
15,A,855.3
144,A,829.93
157,B,1139.5
147,A,774.91
57,A,930.77
75,A,877.54
128,B,826.7
116,A,876.4
179,B,914.12
124,A,801.33
151,B,720.44
180,B,747.17
177,B,972.65
175,A,803.44
27,B,994.96
127,A,865.6
106,B,749.42
42,A,884.89
178,B,761.6
18,B,859.58
135,A,794.1
8,A,863.17
162,B,718.03
165,B,951.5
113,B,847.69
98,A,838.56
152,B,1195.24
90,A,783.77
150,B,929.15
164,B,848.23
26,B,882.04
45,A,806.67
91,B,755.75
159,B,819.05
72,B,842.73
71,A,779.43
17,B,760.96
169,B,981.54
68,B,885.86
95,B,871.18
112,A,854.79
85,B,713.27
55,B,725.55
93,B,890.79
148,B,816.38
155,A,790.39
29,B,708.06
163,B,1016.87
129,B,1024.44
34,A,750.12
49,B,693.53
103,A,946.26
153,A,883.5
115,A,872.6
69,B,838.62
24,A,793.48
83,B,761.31
2,B,758.78
123,B,1050.65
102,B,779.44
31,B,773.67
97,A,794.64
139,A,825.88
1,B,910.08
122,A,837.91
54,B,807.2
100,A,827.59
