subject,condition,values
106,A,605.07
127,A,607.96
40,A,628.14
98,B,623.85
9,B,596.15
141,A,643.64
85,A,653.53
152,B,603.49
74,B,639.99
15,B,633.37
83,B,639.36
10,B,656.18
155,B,610.46
159,B,613.75
131,B,612.62
48,B,635.77
125,A,635.33
37,B,627.54
44,B,637.57
95,B,616.41
129,B,604.02
110,A,624.92
18,A,607.91
112,B,627.53
67,A,616.56
38,B,644.61
138,A,640.95
41,B,635.57
90,A,605.74
29,A,600.55
17,B,615.52
153,B,623.7
105,B,638.39
56,A,609.03
123,A,626.68
8,B,616.33
88,A,598.49
111,A,601.08
165,A,631.25
108,B,594.07
27,B,624.29
39,A,597.49
26,B,620.63
3,A,618.02
61,B,617.63
20,B,604.09
71,A,621.71
117,B,641.74
97,B,625.09
77,B,641.44
114,A,607.23
60,B,621.72
145,B,628.99
101,B,591.73
136,A,614.16
14,A,605.62
78,B,638.77
16,A,609.19
72,B,630.72
158,B,612.46
148,B,620.32
86,B,611.04
128,B,616.77
103,A,628.74
5,A,597.92
115,B,618.83
91,A,611.1
140,A,614.05
151,B,609.76
53,A,610.26
46,A,604.62
81,B,628.48
157,A,601.2
162,A,618.5
109,A,609.74
160,B,613.72
42,B,612.46
11,B,620.36
51,B,616.1
146,B,627.9
132,A,621.87
4,A,597.08
135,A,604.22
68,B,628.89
52,A,613.83
69,A,634.34
49,A,607.65
1,B,601.57
150,B,606.21
79,A,619.39
144,A,602.31
30,A,606.94
84,A,610.84
161,B,630.83
23,A,602.56
120,B,632.03
149,B,616.28
65,B,624.41
92,B,634.1
25,B,635.55
100,B,635.71
107,A,605.97
35,B,633.48
102,B,616.84
130,B,601
58,A,632.59
24,B,648.23
2,A,616.18
124,A,596.6
63,B,617.28
113,B,616.61
164,B,613.43
21,A,625.81
87,B,637.38
126,A,618.35
76,B,628.96
66,B,632.73
139,A,599.3
36,B,650.59
142,A,626.97
28,B,630.3
80,A,603.36
93,B,617.45
62,B,656.3
82,B,613.18
147,B,633.8
167,A,641.35
70,A,633.57
54,A,603.3
89,B,613.83
94,A,614.83
19,A,603.25
22,B,618.7
154,A,617.62
75,B,605.98
50,A,606.56
118,B,639.28
121,A,608.52
119,B,618.87
34,A,603.23
55,A,603.18
104,A,608.57
137,B,613.83
32,A,644.98
163,B,613.08
45,A,616.02
133,B,597.49
116,A,604.33
96,B,628.57
166,B,630.98
7,A,614.23
43,B,626.46
33,A,600.94
59,B,610.13
6,B,597.79
99,B,593.1
31,A,660.84
57,A,613.64
143,A,616.1
134,B,609.88
47,B,629.05
13,B,629.73
156,B,631.63
122,B,635.65
73,A,605.53
12,B,626.17
64,A,614.48
