subject,condition,values
32,B,183.26
220,B,198.6
12,B,165.45
104,A,99.97
246,B,280.46
132,A,171.41
126,B,122.34
137,B,137.9
14,A,172.07
226,B,87.11
34,B,293.37
204,B,223.58
15,B,233.48
175,B,251.12
273,B,178.76
48,B,59.87
162,B,107.58
76,B,127.97
25,B,-20.26
54,A,206.68
101,A,113.96
88,B,140.93
151,B,257.68
18,A,133.91
155,B,122.01
223,A,103.13
121,B,136.03
136,A,147.4
199,B,227.67
198,B,160.76
191,A,141.14
37,A,188.92
194,A,99.65
13,A,130.15
61,B,105.9
46,B,182.55
108,A,139.93
161,A,46.02
20,B,49.99
123,A,100.98
192,B,146.43
102,B,144.79
243,B,104.31
249,A,68.67
28,A,89.56
268,B,270.27
113,A,136.5
140,A,187.98
117,A,160.6
254,A,118.93
95,B,158.84
96,B,239.74
252,B,131.62
33,B,195.27
5,B,166.58
269,A,29.08
133,A,155.49
98,A,90.07
58,B,41.43
97,B,90.54
222,A,102.84
51,B,263
275,B,251.64
184,B,221.7
30,A,142.18
79,B,134.85
278,A,87.89
141,B,132.78
127,A,103.73
178,B,179.28
44,B,159.42
196,B,138.57
167,A,72.26
145,B,127.41
86,A,118.38
135,B,210.54
60,B,149.02
147,A,167.1
62,A,151.96
240,A,146.86
271,B,124.27
142,B,200.88
17,B,274.59
257,B,-36.79
185,B,217.82
270,B,178.22
215,A,120.92
71,B,168.66
239,A,117.13
173,A,72.93
197,B,-17.73
130,B,103.2
43,B,44.97
233,B,178.79
203,A,112.79
3,B,23.59
216,A,172.98
235,B,130.44
83,B,171.23
124,A,92.67
118,A,87.66
77,A,99.42
149,B,133.26
182,A,54.95
247,B,71.26
80,B,67.47
39,A,188.03
10,B,164.46
263,A,72.06
170,B,387.02
171,B,208.41
208,B,79.95
21,B,321.84
242,B,284.46
84,B,165.34
107,B,231.68
261,B,173.13
214,A,131.42
227,B,141.81
274,A,133.21
53,A,181.16
68,B,152.49
87,B,294.12
16,B,206.42
41,A,162.86
237,B,252.99
176,A,149.53
224,B,13.13
201,A,155.21
40,A,170.9
272,A,95.79
234,B,281.52
78,B,235.16
119,B,108.21
225,A,170.74
66,A,140.77
228,A,107.3
253,A,191.93
165,B,186.05
157,A,138.41
129,B,63.05
248,B,13.24
63,B,118.7
251,A,133.82
205,B,27.22
258,A,135.01
115,A,84.02
255,B,136.19
65,B,178.66
24,B,113.18
69,B,251.81
277,B,-8.86
238,A,98.23
164,B,152.62
190,A,204.95
27,A,160.13
156,B,47.19
232,B,256.54
143,B,148.65
120,B,172.44
218,B,171.93
169,A,109.39
150,B,163.2
210,B,113.2
67,B,130.17
23,B,279.37
103,B,106.93
158,B,145.98
200,B,87.36
206,B,92.12
19,A,85.6
259,A,97.95
217,A,149.31
116,A,62.39
221,A,164.99
52,B,230.55
134,A,146.75
26,B,34.66
110,A,166.09
172,B,119.36
93,B,139.28
85,A,156.41
267,A,119.14
47,B,115.19
260,B,204.2
131,B,281
29,A,112.68
111,A,183.84
73,A,107.83
213,B,186.57
177,B,39.48
154,B,200.23
100,A,84.33
90,B,-58.47
265,B,43.92
42,A,118.31
207,B,124.12
211,B,-44.19
138,A,137.65
99,B,45.77
230,B,285.11
59,B,96.82
112,A,130.37
153,B,198.96
11,A,119.12
231,B,13.71
152,B,155.54
250,A,98.11
245,B,158
36,A,121.89
187,B,174.25
9,A,104.52
38,B,144.62
50,B,83.7
7,A,136.02
244,B,178.07
148,A,198.07
195,B,265
188,B,145.92
276,B,40.45
91,B,160.55
70,A,100.36
57,A,95.91
189,B,264.71
174,A,118.65
72,B,149.96
264,B,174.79
82,B,-135.36
262,B,162.23
31,A,155.39
209,B,184.85
128,B,73.36
236,A,90.95
256,B,268.68
229,A,172.37
144,B,176.36
8,A,20.93
183,A,45.59
179,B,93.82
6,A,94.98
168,B,65.42
55,A,91.73
1,B,295.46
75,A,140.02
266,B,113.78
193,A,143.79
81,A,106.1
125,B,95.19
4,B,351.62
202,B,197.84
105,A,141.43
219,B,27.87
106,A,138.88
35,A,113.42
241,B,189.65
114,A,85.98
146,B,153.29
159,A,99.83
94,A,93.61
49,A,110.33
212,B,64.02
74,B,118.99
186,B,138.6
56,B,159.79
166,B,71.31
22,B,185.26
2,B,135.32
92,A,76.7
109,B,127.17
160,A,92.88
89,A,98.48
180,A,169.56
64,B,214.34
139,A,79.01
122,B,203.82
45,B,226.32
181,B,117.75
163,B,117.88
