subject,condition,values
119,B,145.56
44,A,35.37
95,B,81.16
88,A,132.04
123,A,123.11
29,B,94.26
27,A,177.74
42,B,87.61
48,A,80.65
99,B,106.32
117,B,178.82
19,A,-97.86
11,A,22.65
85,A,-168.71
102,B,66.28
56,A,-107.95
91,A,-67.17
13,A,82.49
118,B,169.17
28,A,277.79
2,A,215.11
69,A,-149.13
101,B,146.68
14,B,148.46
37,A,-216.66
75,B,115.24
58,B,132.25
46,A,229.08
107,A,47.86
54,B,90.25
59,A,348.6
16,B,107.84
32,A,-51.31
96,A,-205.82
106,B,174.32
40,A,125.32
10,A,60.36
55,A,103.46
23,B,116.28
93,A,179.45
90,B,154.15
79,A,-331.71
5,B,76.4
51,B,75.26
21,B,158.41
15,A,210.49
8,B,159.91
113,B,155.54
81,B,165.68
38,B,182.05
47,A,-47.45
4,A,73.19
111,B,145.46
57,A,106.56
61,A,109.77
100,B,136.28
34,B,166
65,B,123.1
20,B,126.51
97,B,65.21
86,B,92.71
26,B,150.64
39,B,147.52
31,B,157.05
120,B,30.83
87,A,136
78,A,102.28
109,B,23.41
76,A,13.87
41,B,163.64
53,B,96.45
92,B,169.83
77,B,63.81
36,A,-92.19
1,A,-12.23
67,A,-634.55
82,A,17.08
50,B,151.3
6,A,95.31
7,B,100.15
84,B,157.83
80,A,256.43
33,A,168.7
22,B,157.7
72,B,172.7
9,B,134.61
63,B,97.11
116,B,77.53
60,B,106.94
30,A,299.26
74,A,277.55
103,B,-21.46
52,A,86.22
24,B,176.95
64,B,58.52
121,B,121.46
18,A,283.16
98,B,82.02
3,B,134.05
115,B,96.08
66,B,171.57
45,B,161.8
25,A,431.67
83,A,-65.05
12,B,149.46
89,B,131.61
49,B,90.25
122,A,0.28
110,B,143.31
94,B,140.76
112,B,95.16
114,B,128.22
105,A,451.81
104,B,44.63
17,B,161.18
71,A,-156.19
62,B,79.67
68,A,-117.97
43,A,-79.6
73,A,177.81
108,A,210.1
35,A,262.23
70,A,79.18
