subject,condition,values
21,A,508.18
39,A,483.28
23,A,661.77
27,A,505.38
36,A,400.73
1,A,596.35
33,B,620.66
32,B,570.88
34,A,446.89
16,B,610.28
31,B,625.49
8,A,626.56
24,A,480.17
40,B,611.9
4,A,587.1
19,B,533.6
18,B,584.06
20,B,601.38
41,A,390.79
3,A,507.06
26,B,631.14
11,A,383.75
25,A,587.71
35,B,547.03
37,B,554.39
13,A,671.1
14,A,337.09
22,A,441.98
9,B,612.56
12,A,522.89
42,B,548.83
5,B,640.09
6,A,649.11
43,B,552.87
29,B,601.12
2,A,467.69
28,B,569.04
7,A,419.95
38,A,472.97
30,B,625.94
15,B,568.85
10,B,547.12
17,B,606.98
