subject,condition,values
22,A,251.23
183,A,317.98
117,A,258.98
131,A,220.8
49,A,225.49
6,B,294.67
27,A,217.15
176,B,270.09
81,A,253.53
105,A,249.51
137,B,262.46
114,B,270.46
174,B,262.35
124,B,257.09
4,A,287.46
86,A,296.21
134,A,264.54
108,B,284.5
30,A,285.34
180,A,253.18
197,A,252.39
28,B,254.08
18,B,298.35
98,B,230.53
170,B,266.76
101,A,270.84
45,A,221.36
120,B,259.24
133,A,267.35
13,A,258.87
126,B,229.47
125,B,243.9
178,B,261.85
57,B,314.89
90,B,265.37
144,A,255.19
42,B,299.45
14,B,288.2
44,A,249.1
73,B,242.81
97,B,264.49
165,B,259.18
210,A,281.83
173,A,288.66
200,A,260.37
167,B,285.48
189,B,264.59
151,B,303.49
63,B,237.16
55,A,296.43
171,B,292.69
128,B,244.8
184,A,314.46
23,B,301.59
122,B,272.31
69,A,268.69
106,A,247.52
91,B,258.31
61,B,252.74
87,B,236.57
54,B,246.58
12,A,249.74
89,A,266.06
187,B,263.47
39,B,278.14
172,A,229
20,A,245.26
162,B,282.05
186,A,275.95
11,A,293.34
52,B,251.03
175,B,301.57
140,B,299.74
33,A,244.86
169,B,250.2
202,B,217.95
198,A,266.69
115,B,240.95
136,B,221.85
195,A,264.59
51,B,243.59
34,A,248.38
211,B,221.89
93,B,260.24
112,B,310.08
29,B,259.71
119,A,278.22
190,A,238.24
48,B,273.76
47,A,294.4
62,B,267.86
132,B,284.06
104,A,284.93
209,A,284.44
143,A,239.26
213,B,265.37
150,B,225.97
41,B,313.6
75,A,249.01
163,B,265.25
78,A,204.84
40,A,245.88
53,B,230.51
179,A,247.31
83,A,288.77
166,B,193.03
205,A,257.27
35,B,259.54
76,B,274.83
19,B,233.78
130,A,275.57
164,A,261.84
9,B,274.54
25,B,231.81
141,B,295.4
196,A,227.91
84,B,259.59
1,A,250.55
182,B,260.11
21,A,217.78
3,B,265.38
56,B,251.81
208,B,299.17
36,B,287.96
60,B,242.77
59,B,247.99
181,B,250.65
66,A,190.62
185,A,225.53
17,B,269.51
127,A,273.96
64,B,263.73
199,B,288.57
135,A,256.1
147,B,231.88
72,A,280.41
207,A,287.8
88,B,258.93
94,A,218.55
43,B,202.22
204,B,291
193,B,257.46
145,A,253.26
8,A,290.41
201,B,240.51
161,B,252.73
194,A,235
153,A,259.34
157,B,269.84
160,A,322.41
74,A,212.65
118,A,253.46
139,B,252.04
32,A,241.3
116,B,254.75
46,B,329.57
103,B,295.62
65,A,249
107,B,271.34
10,B,250.15
109,B,248.1
71,B,263.51
58,B,266.25
99,A,299.13
70,A,249.25
79,A,207.7
67,B,276.3
26,B,300.21
82,B,290.2
68,A,243.98
159,B,272.99
110,B,275.48
80,A,209.04
206,A,300.47
155,A,228.94
148,B,261.46
95,B,299.66
38,B,259.47
77,A,228.43
102,A,262.65
158,A,307.43
7,A,214.08
121,B,275.27
203,B,245.29
2,B,234.59
142,B,247.04
191,A,253.58
85,A,261.26
152,A,271.99
100,A,250.5
37,A,219.57
31,B,253.1
24,B,241.33
149,A,224.57
92,A,247.84
177,B,202.74
192,B,281.6
154,B,237.62
168,B,258.45
111,A,272.53
50,B,274.05
138,A,229.61
96,B,209.12
129,A,252.74
16,A,264.72
212,B,296.66
146,B,227.34
123,A,244.47
15,B,259.86
5,B,279.28
156,B,300.76
113,A,275.84
188,A,269.28
