Subject,A,B
1,58.46,58.12
2,59.22,58.84
3,58.85,59.09
4,58.4,58.01
5,58.04,57.8
6,60.02,59.89
7,59.06,58.98
8,57.43,58.22
9,58.28,58.52
10,59.01,59.58
11,57.5,57.75
12,56.37,57.16
13,58.24,58.09
14,58.46,58.62
15,56.57,56.42
16,56.98,57.22
17,58.38,58.39
18,57.18,56.8
19,57.07,57.98
20,57.64,57.51
21,57.56,58.03
22,58.44,58.13
23,57.45,57.95
24,58.87,58.5
25,57.5,57.82
26,57.95,58.14
27,57.99,58.24
28,58.07,58.29
29,57.42,56.73
30,57.4,57.29
31,57.67,57.86
32,57.48,58.14
33,60.02,60.08
34,58.39,58.46
35,59.24,59.17
36,59.57,59.81
37,58.84,58.81
38,57.72,57.62
39,57.52,57.35
40,58.78,59.01
41,57.69,57.46
42,59.62,59.75
43,56.84,56.34
44,58.14,58.42
45,58.54,58.84
46,59.16,59
47,56.14,56.28
48,58.09,57.86
49,58.29,58.26
50,58.56,58.36
51,57.78,58.14
52,58.23,58.38
53,58.07,58.31
54,59.57,58.96
55,57.24,57.15
56,59.12,59.32
57,57.36,57.46
58,56.68,57.37
59,57.2,57.09
60,56.89,57.01
61,58.58,58.12
62,57.2,56.83
63,57.68,57.87
64,57.83,57.35
65,57.82,57.93
66,57.99,58.2
67,58.59,58.44
68,57.57,58.17
69,58.19,57.8
70,57.57,57.26
71,55.67,56.23
72,59.74,60.19
73,57.89,57.81
74,58.86,59.21
75,58.7,59.08
76,57.29,56.96
77,57.42,57.64
78,58.53,58.13
79,58.22,58.83
80,58.96,58.97
81,58.13,58.02
82,57.29,57.24
83,58.47,58.79
84,58.02,58.54
85,58.33,58.06
86,58.93,59
87,57.12,57.66
88,59.15,58.76
89,56.57,55.99
90,57.66,57.82
91,58.29,58.58
92,56.96,57.04
93,59.05,58.67
94,58.31,57.99
95,57.97,57.99
96,58.12,58.13
97,60.02,60.06
98,58.02,58.06
99,58.83,58.97
100,58.29,58.54
101,58.42,58.66
102,59.14,59.51
103,58.45,58.52
104,56.17,56.44
105,56.23,55.88
106,57.66,57.4
107,59.02,59.51
108,56.52,56.2
109,59.63,59.22
110,57.83,57.93
111,58.17,58.25
112,58.64,58.92
113,57.34,57.01
114,57.93,57.7
115,57.7,57.83
116,58.46,58.63
117,57.46,56.88
118,57.31,56.79
119,58.96,58.87
120,55.71,55.61
121,59.35,59.18
122,57.78,57.65
123,56.83,56.34
124,59.25,59.1
