Subject,A,B
1,63.15,63.28
2,62.18,61.02
3,62.15,64.38
4,63.41,63.15
5,64.77,64.73
6,61.74,61.57
7,61.6,60.34
8,63.7,64.76
9,63.45,63.82
10,62.67,62.62
11,63.48,62.44
12,63.07,61.63
13,63.81,62.68
14,63.2,61.55
15,62.42,62.4
16,63.98,63.15
17,63.82,64.33
18,62.72,61.42
19,61.07,63.51
20,63.78,63.56
21,63.16,62.95
22,63.01,62.81
23,63.93,63.46
24,60.97,61.71
25,63.75,61.83
26,63.67,63.07
27,60.91,62
28,63.04,62.67
29,62.08,63.38
30,61.62,62.89
31,60.55,59.91
32,62.3,62.14
33,63.74,63.33
34,63.29,63.74
35,64.52,63.85
36,65.11,65.22
37,62.22,62.62
38,62.04,62.38
39,62.86,63.89
40,63.13,62.68
41,60.58,62.22
42,62.88,64.49
43,63.19,62.47
44,63.32,63.66
45,62.65,62.82
46,63.16,64.47
47,62.86,63.62
48,63.04,62.59
49,64.48,63.41
50,63.67,64.33
51,63.92,63.45
52,63.84,63.6
53,62.38,60.99
54,63.11,64.19
55,63.73,62.61
56,65.05,64.48
57,64.44,64.03
58,61.44,63.94
59,63.38,63.9
60,63.36,63.68
61,63.41,61.99
62,63.71,62.92
63,64.33,63.96
64,61.74,62.17
65,61.82,62.98
66,61.78,62.34
67,63.43,63.02
68,62.33,63.86
69,63.67,62.28
70,61.9,62.72
71,64.44,64.4
72,63.74,62.77
73,62.71,62.3
74,63.12,62.33
75,62.77,62.92
76,64.81,64.32
77,65.96,63.7
78,63.9,61.55
79,62.87,63.37
80,63.45,63.36
81,63.38,64.39
82,62.25,62.15
83,61.8,62.95
84,64.14,63.05
85,61.52,62.13
86,63.06,62.51
87,61.98,60.89
88,63.53,63.01
89,64.1,63.46
90,62.25,61.7
91,64.46,63.94
92,62.21,62.28
93,63.78,62.82
94,62.61,63.18
95,62.05,64.12
96,62.64,63.39
97,64.07,63.6
98,62.22,63.24
99,63.87,65.14
100,61.19,62.76
101,63.88,62.92
102,61.59,62.88
103,62.64,65.24
104,62,61.84
105,63.07,64.39
106,62.74,62.89
107,62.43,62.71
108,61.84,62.37
109,61.49,62.73
110,62.6,62.71
111,63.12,63.08
112,63.63,63.06
113,61.77,62.21
114,62.49,62.75
115,63.98,64.06
116,61.48,63.76
117,64.2,63.24
118,62.97,63.95
119,63.4,63.15
120,63.31,63.32
121,62.43,63.67
122,63.79,63.12
123,62.4,61.09
124,63.29,63.03
125,63.96,63.59
