Subject,A,B
1,50.19,48.7
2,48.95,49.81
3,50.81,47.46
4,49.7,49.4
5,49.25,48.86
6,49.92,49.18
7,48.59,49.09
8,50.39,50.02
9,49.42,49.87
10,52.31,49.22
11,50.93,48.75
12,48.61,51.54
13,48.04,50.26
14,49.98,49.41
15,50.26,48.58
16,51.05,49.91
17,49.94,48.11
18,50.5,47.94
19,47.51,51.04
20,50.38,48.64
21,50.29,49.41
22,49.39,48.46
23,49.22,46.25
24,49.67,48
25,49.21,48.85
26,50.79,49.88
27,48.66,50.02
28,48.52,47.81
29,49.6,48.42
30,51.84,48.63
31,49.8,49.83
32,48.03,49.99
33,50.86,48.93
34,49.93,48.99
35,49.02,49.85
36,48.9,50.52
37,50.25,48.68
38,50.39,48.65
39,50.21,49.26
40,51.26,49.68
41,50.93,49.02
42,48.64,50.38
43,52.63,47.11
44,50.45,49.15
45,50.11,50.3
46,50.38,46.65
47,49.57,49.56
48,49.61,49.23
49,48.77,50.13
50,49.77,48.82
51,48.87,50.14
52,50.08,49.56
53,49.04,49.79
54,49.44,50.2
55,49.44,50.18
56,48.55,50.37
57,49.98,47.19
58,51.3,49.39
59,48.87,50.73
60,49.68,51.12
61,49.48,49.63
62,48.75,51.02
63,45.53,51.16
64,48.92,48.99
65,49.39,49.88
66,50.46,48.87
67,49.9,50.08
68,50.03,48.96
69,50.77,49.88
70,47.75,50.62
71,49.19,49.17
72,50.68,49.89
73,48.54,50.92
74,49.95,50
75,47.96,50.58
76,50.91,47.96
77,50.24,49.73
78,49.37,47.31
79,49.51,48.34
80,50.23,49.95
81,49.86,49.68
82,50.36,49.65
83,48.91,50.58
84,49.68,50.4
85,51.08,49.79
86,48.61,48.87
87,49.95,49.05
88,49.21,48.55
89,49.29,50.2
90,49.77,50.39
91,50.97,48.51
92,49.15,48.98
93,48.66,49.65
94,50.2,49.99
95,51.21,49.1
96,50.63,50.44
97,49.42,49.58
98,51.49,48.08
99,51.67,50.44
100,51.34,49.33
101,48.13,50.4
102,50.09,48.97
103,51.4,47.9
104,49.49,48.21
105,49.89,50
106,50.96,48.92
107,49.31,48.49
108,48.7,50.23
109,49.34,50.95
110,48.76,48.8
111,50.79,48.86
112,50.93,48
113,49.32,49.97
114,48.28,49.34
115,49.46,49.31
116,46.31,51.18
117,49.83,49.68
118,49.79,49.72
119,47.39,49.97
120,48.52,50.47
121,49.65,49.63
122,49.13,50.04
123,47.69,48.95
124,50.65,49.82
125,47.9,49.13
126,50.33,48.31
127,48.85,50.79
128,49.19,48.31
129,49.7,49.06
130,50.59,48.4
131,47.99,50.95
132,48.67,49.02
133,49.31,49.68
134,48.88,49.83
135,47.94,49.34
136,48.84,49.84
137,49.73,48.18
138,47.4,50.62
139,48.69,50.34
140,48.57,49.93
141,49.72,48.02
142,48.25,50.24
143,48.51,49.32
144,49.59,49.34
145,49.04,50.1
146,49.12,49.02
147,47.15,50.38
148,47.41,51.1
149,50.04,50.88
150,47.76,51.41
151,48.43,52.22
152,48.53,49.64
153,48.86,50.31
154,49.52,49.26
155,49.2,49.93
156,49.82,48.22
157,49.15,50.15
158,50.15,48.22
159,50.89,49.76
160,48.65,49.54
161,50.6,47.73
162,49.69,49.56
163,50.29,47.9
164,49.42,51.53
165,51.49,49.64
166,49.46,49.82
167,51.31,49.72
168,49.33,48.55
169,48.82,50.63
170,50.42,49.53
171,49.13,48.88
172,49.88,48.51
173,48.93,47.91
174,48.53,50.01
175,48.69,50.41
176,50.92,48.62
177,49.72,48.73
178,50.93,48.77
179,50.61,48.54
180,49.64,50.04
181,50.63,48.93
182,49.29,49.72
183,49.53,49.45
184,49.16,49.57
185,48.44,49.21
186,49.52,48.55
187,49.82,49.36
188,49.95,49.64
189,49.1,51.08
190,47.13,50.33
191,49.86,49.42
192,51.26,48.15
193,50.05,47.82
194,49.37,48.48
195,50.35,48.87
196,49.07,51.21
197,48.71,47.31
198,49.08,48.94
199,49.45,50.58
200,49.71,48.53
201,50.74,49.72
202,49.35,49.77
203,48.77,50.37
204,50.75,49.1
205,48.64,49.22
206,49.86,49.58
