id,condition,reaction_time
1,Baseline,120.1121705030668
1,Low_Dose,119.97087987533695
1,Medium_Dose,138.06201966140983
1,High_Dose,147.63354644651264
2,Baseline,109.43339368892072
2,Low_Dose,113.30762655983
2,Medium_Dose,132.91565398424524
2,High_Dose,133.69215788618072
3,Baseline,96.83202683128806
3,Low_Dose,90.78701078686817
3,Medium_Dose,111.78277636250424
3,High_Dose,111.65768819696191
4,Baseline,80.19785098956227
4,Low_Dose,107.31800603635844
4,Medium_Dose,103.88666833827372
4,High_Dose,93.18160035037249
5,Baseline,117.13455542828656
5,Low_Dose,134.55073616469528
5,Medium_Dose,122.21305868437075
5,High_Dose,139.76136725640583
6,Baseline,97.38416365430766
6,Low_Dose,88.0630580968482
6,Medium_Dose,110.19068929652572
6,High_Dose,111.42429706436891
7,Baseline,97.12448807141612
7,Low_Dose,98.41591719062397
7,Medium_Dose,105.86524284547933
7,High_Dose,122.4026706233495
8,Baseline,80.40205559579023
8,Low_Dose,92.82929095991696
8,Medium_Dose,96.26881384353263
8,High_Dose,100.3973425109379
9,Baseline,108.25317166337801
9,Low_Dose,112.73621487546072
9,Medium_Dose,102.17806864618001
9,High_Dose,117.07289109243497
10,Baseline,116.28438292292797
10,Low_Dose,102.84984150827881
10,Medium_Dose,108.71547970771323
10,High_Dose,121.40198690869605
11,Baseline,109.18245622776575
11,Low_Dose,106.20767007158055
11,Medium_Dose,109.60403617070658
11,High_Dose,126.1265933289901
12,Baseline,107.75486814838982
12,Low_Dose,106.30630461986338
12,Medium_Dose,125.66822977171785
12,High_Dose,119.45220407075384
13,Baseline,113.86840221849403
13,Low_Dose,107.57399402218039
13,Medium_Dose,119.34117071657305
13,High_Dose,115.46445830850202
14,Baseline,81.53002408435553
14,Low_Dose,94.25388924021136
14,Medium_Dose,113.8858506249372
14,High_Dose,102.54133770153459
15,Baseline,90.4587634085401
15,Low_Dose,90.29587501808642
15,Medium_Dose,101.62089710853255
15,High_Dose,107.91526543603271
16,Baseline,93.2496530914194
16,Low_Dose,101.58033411213837
16,Medium_Dose,87.18686353077779
16,High_Dose,113.14955840664146
17,Baseline,95.47976796177699
17,Low_Dose,116.71748410523509
17,Medium_Dose,109.71855762572842
17,High_Dose,113.4355852305509
18,Baseline,83.1822199153824
18,Low_Dose,85.6385486266403
18,Medium_Dose,98.98110482825831
18,High_Dose,104.1229665603826
19,Baseline,112.15117859948955
19,Low_Dose,129.63893908028462
19,Medium_Dose,131.52160205247208
19,High_Dose,127.53746234263389
20,Baseline,82.90163149987457
20,Low_Dose,90.77226064769832
20,Medium_Dose,106.9252705957137
20,High_Dose,122.95158964544922
21,Baseline,91.84066763624412
21,Low_Dose,112.36705860603168
21,Medium_Dose,98.61498637140541
21,High_Dose,120.44291740381696
22,Baseline,104.26810435655786
22,Low_Dose,107.65110400310023
22,Medium_Dose,108.85681296075455
22,High_Dose,126.20321321364754
23,Baseline,120.79008327125018
23,Low_Dose,138.45162830965913
23,Medium_Dose,143.62611170827213
23,High_Dose,160.90140200408348
24,Baseline,128.5615057787644
24,Low_Dose,143.8262813616778
24,Medium_Dose,161.43813256553847
24,High_Dose,140.9926847239614
25,Baseline,99.65252064191642
25,Low_Dose,104.99725246742095
25,Medium_Dose,105.44755393806203
25,High_Dose,115.03083044259732
26,Baseline,112.10817241388496
26,Low_Dose,115.36727558802039
26,Medium_Dose,121.69207868419116
26,High_Dose,123.41427911800244
27,Baseline,114.7987934562567
27,Low_Dose,121.39543096849505
27,Medium_Dose,129.38251091277544
27,High_Dose,125.17170581328755
28,Baseline,90.50518720069118
28,Low_Dose,91.30533616145152
28,Medium_Dose,99.66269107817152
28,High_Dose,113.29219991520127
29,Baseline,107.61843594382096
29,Low_Dose,107.49093609200068
29,Medium_Dose,120.1040817883465
29,High_Dose,129.98816736611957
30,Baseline,105.55542859076671
30,Low_Dose,112.97699023381124
30,Medium_Dose,122.8879197198444
30,High_Dose,118.6396579224913
31,Baseline,97.64593041145069
31,Low_Dose,104.55825418252942
31,Medium_Dose,118.24853536289653
31,High_Dose,132.25868436902837
32,Baseline,116.21714538022775
32,Low_Dose,125.10797406298528
32,Medium_Dose,119.02260807151413
32,High_Dose,127.97319016433987
33,Baseline,117.52365172046652
33,Low_Dose,83.29645287812632
33,Medium_Dose,101.3720472148875
33,High_Dose,123.54729423877676
34,Baseline,96.21999286925568
34,Low_Dose,115.46637649866207
34,Medium_Dose,120.49847354658876
34,High_Dose,119.03366075316885
35,Baseline,106.08923222132105
35,Low_Dose,91.87168723339113
35,Medium_Dose,111.12629045798543
35,High_Dose,118.33651221721124
36,Baseline,102.23509915799868
36,Low_Dose,100.85230457090027
36,Medium_Dose,118.20957680959653
36,High_Dose,126.17778260757812
37,Baseline,115.34029016001278
37,Low_Dose,101.75814090201305
37,Medium_Dose,124.14951720097447
37,High_Dose,120.72435819839832
38,Baseline,102.12086662751916
38,Low_Dose,83.82802010501058
38,Medium_Dose,93.38769574610423
38,High_Dose,82.44355486235712
39,Baseline,72.59015064444995
39,Low_Dose,69.24551485585441
39,Medium_Dose,78.8204871536716
39,High_Dose,89.55567570762199
40,Baseline,95.85400143276433
40,Low_Dose,98.95569934090051
40,Medium_Dose,116.2093626593227
40,High_Dose,131.20813628839522
