subject,treatment,values
189,B,177.08
96,A,169.18
110,A,230.68
194,A,190.27
154,B,154.93
137,A,181.08
259,B,174.17
12,A,131.97
150,B,161.12
10,B,157
22,B,166.48
111,A,114.14
2,B,158.69
241,A,113.75
106,A,84.35
246,B,190.14
205,B,165.73
151,B,171.98
87,B,164.02
213,A,202.1
54,B,171.83
253,A,165.59
177,A,139.5
62,B,193.9
120,B,153.03
217,B,151.95
218,B,151.19
257,B,187.64
140,B,179.87
61,B,160.59
46,A,222.14
15,A,123.93
28,B,178.21
60,A,186.44
216,A,182.56
255,A,263.7
258,A,135.13
209,A,160.67
23,A,154.54
147,A,153.88
144,B,148.83
212,B,134.63
13,A,100.18
207,B,176.61
222,A,134.41
200,B,171.51
285,A,131.68
33,A,147.99
64,B,169.7
206,A,161.59
8,B,169.92
240,A,196.85
278,B,189.45
73,B,175.73
224,A,96.79
264,A,129.5
256,B,170.77
193,A,133.47
118,A,173.53
80,B,150.18
211,B,184.41
67,A,137.07
9,A,92.11
181,B,168.14
234,B,167.5
220,B,190.34
149,B,177.45
36,A,142.47
55,B,182.39
42,A,130.18
52,A,157.31
283,A,165.75
247,B,154.84
164,A,150.2
179,B,184.22
139,B,193.3
107,B,159.32
41,B,166.41
115,B,171.47
160,B,175.89
168,B,187.9
69,A,189.61
146,A,164.33
269,B,170.07
26,A,186.21
116,B,193.03
236,A,222.1
100,A,211.84
38,A,151.38
182,A,184.84
74,B,157.32
232,B,151.05
225,A,115.52
289,B,169.86
215,A,193.64
78,A,151.23
7,B,173.69
117,B,149.16
47,A,133.66
5,B,161.38
37,A,160.63
166,A,136.75
126,A,160.28
44,B,167.56
243,A,147.22
84,B,176.53
204,B,145.32
242,B,144.77
199,A,131.88
159,A,162.64
103,B,192
195,B,169.9
21,B,165.68
219,B,163.82
272,B,160.59
180,B,191.4
274,A,145.24
270,B,176.48
175,B,168.96
237,A,207.42
223,B,149.69
221,B,154.18
39,B,166.15
286,A,272.62
170,B,154.11
176,B,178.26
45,A,126.7
124,B,142.84
94,A,154.61
141,A,126.93
101,B,146.15
104,A,160.86
148,B,187
79,A,118.46
171,B,173.37
173,A,176.51
187,B,152.35
191,B,160.3
281,B,155.57
18,B,180.92
185,B,172.5
11,B,141.68
85,A,204.38
227,A,154.88
29,A,235.93
263,A,165.93
51,B,149.09
203,B,158.33
129,B,158.68
238,A,190.63
276,B,199.23
14,A,185.56
75,B,162.4
19,B,163.64
48,A,165.87
145,B,163.6
27,B,172.19
34,B,161.27
231,A,86.79
131,B,153.08
284,B,167.02
266,A,76.03
196,A,146.38
249,A,160.05
229,A,204.13
30,A,108.68
197,B,157.57
57,B,164.75
98,A,133.82
250,B,164.65
53,B,187.2
245,A,149.38
202,A,109.25
275,A,204.61
184,B,151.4
252,B,160.11
268,A,157.41
174,A,170.59
188,B,156.5
279,B,157.76
90,B,164.09
267,B,174.42
31,A,140.98
68,A,169.16
63,A,165.14
95,A,121.6
121,A,219.91
169,A,200.34
186,B,143.34
82,B,162.75
99,A,140.77
24,A,176.77
155,B,184.23
153,B,164.45
161,A,127.14
72,B,176.09
282,B,145.74
265,B,163.57
287,A,189.28
97,A,118.27
93,A,170.82
86,A,157.57
77,A,141.81
71,B,166.8
271,A,156.56
226,B,157.24
152,B,171.12
230,B,169.26
112,A,118.53
201,A,152.23
108,B,159.21
163,B,184.12
83,B,162.82
142,A,170.19
244,A,155.55
56,A,188.11
138,B,146.74
239,A,177.72
158,A,130.34
280,A,180.77
132,B,163.32
59,B,177.3
134,B,184.84
210,A,241.36
167,A,220.38
183,A,202.24
157,B,152.44
130,B,161.01
277,B,150.91
214,A,105.88
273,B,168.84
43,B,158.93
89,B,171.8
208,B,177.32
50,B,161.45
49,A,135.47
1,B,156.15
135,B,180.53
165,A,238.85
122,B,155.9
260,B,167.05
172,A,140.8
4,B,168.49
6,B,177.44
70,A,149.63
32,B,147.26
162,A,160.2
123,B,162.06
114,B,193.93
35,A,154.35
228,A,218.59
91,B,180.24
20,B,180.98
58,B,140.12
102,A,146.72
17,B,155.32
92,A,180.89
136,A,90.99
40,B,172.92
248,A,162.87
262,B,176.65
233,B,166.26
190,A,182.7
3,B,172.07
198,B,152.78
109,B,168.05
192,B,175.27
65,B,167.66
261,A,141.6
288,B,169.9
235,A,108.23
127,B,161.33
251,B,141.2
113,B,171.68
178,B,158.97
254,B,164.65
143,B,169.83
105,B,142.56
125,B,167.3
25,A,140.99
16,B,170.72
156,B,160.61
133,A,179.86
76,A,200.67
88,A,143.6
66,B,152.36
119,B,155.98
128,B,162.39
81,A,192.8
