subject,condition,values
83,B,892.49
38,B,852.27
177,B,914.8
65,B,767.45
142,A,897.54
138,B,935.98
14,B,883.94
39,B,920.76
185,B,873.78
169,B,960.14
175,A,885.5
44,B,955.43
47,B,906.98
129,B,896
45,B,819.16
144,A,887.99
46,B,783.6
18,B,873.08
64,B,926.87
6,A,892.39
110,B,784.73
155,B,870.89
191,A,881.32
114,B,920.27
57,B,962.74
106,A,898.31
111,A,900.01
181,B,957.5
100,A,889.39
10,A,894.98
179,A,900.81
192,B,873.58
32,B,869.06
178,B,918.99
97,B,907.65
135,A,899.61
73,A,909.61
84,A,907.52
187,B,839.64
43,B,886.83
123,B,870.76
121,B,908.55
176,B,876.48
133,A,880.42
58,B,937.54
115,B,950.9
117,B,701.54
76,A,887.82
182,B,939
25,B,810.49
151,A,872.33
85,A,896.47
99,A,901.64
28,B,906.32
42,B,886
3,A,907.96
50,A,911.85
172,B,838.07
5,A,860.17
168,A,884.13
86,A,891.11
16,B,806.36
27,A,895.42
174,B,911.4
140,B,941.63
112,B,808.48
126,B,835.23
35,A,890.11
134,A,887.94
118,A,864.84
120,A,887.9
101,B,882.18
17,A,880.02
158,A,902.7
189,A,920.68
7,A,890.46
21,B,832.62
139,A,894.58
113,B,952.51
167,A,895.69
15,B,819.22
36,B,896.65
180,B,907.7
12,A,900.43
137,A,888.9
95,B,766.35
62,B,942.9
98,B,859.58
77,B,932.53
56,B,855.81
136,A,906.71
102,B,740.83
37,B,927.11
22,A,902.01
190,A,877.9
105,B,938.29
146,B,856.33
68,A,880.62
141,B,916.19
164,A,924.72
63,B,906.31
75,B,913.56
162,B,883.55
51,B,874.68
13,B,925.93
24,A,889.42
34,B,886.26
19,A,878.94
71,B,814.36
103,B,803.93
48,A,879.87
156,A,868.19
160,B,878.79
81,B,947.19
55,B,922.75
154,A,918.31
125,B,868.25
67,B,908.07
59,B,940.37
69,B,811.1
122,B,911.02
153,B,889.8
131,A,906.05
30,A,890.88
29,B,863.56
4,B,838.62
66,A,889.71
93,B,797.83
72,B,863.59
92,B,930.82
163,A,881.52
170,B,872.01
119,B,946.37
94,A,889.27
147,B,754.74
150,A,875.98
188,A,895.3
82,B,799.54
124,B,877.67
166,B,928.1
108,B,943.66
60,B,933.32
104,A,898.31
143,A,922.76
173,B,924.35
165,A,906.28
23,B,827.26
79,B,925.33
89,A,924.8
70,A,894.23
157,B,856.1
53,B,921.35
26,A,872.36
171,B,943.64
8,B,867.55
80,A,884.31
33,B,933.9
74,A,880.62
90,B,961.42
9,B,805.35
87,B,830.82
54,A,881.55
130,A,864.3
49,A,871.11
127,B,843.98
145,B,936.43
78,A,917
61,B,916.85
132,A,870.4
159,A,908.25
91,B,873.43
183,A,903.69
149,A,874.75
20,A,899.04
88,A,901.5
52,B,910.68
186,B,872.9
96,B,899.87
128,A,883.68
41,B,833.65
116,B,928.53
161,B,934.85
148,B,877.68
184,A,910.18
31,A,870.68
2,B,832.64
40,B,914.7
109,A,879.76
1,A,904.08
152,B,920.57
11,A,897.84
107,B,917.48
