subject,treatment,values
2,B,269.1
19,A,569.98
164,A,395.64
5,A,67.09
175,B,194.85
99,B,64.81
132,B,175.59
106,A,211.33
107,A,-12.74
155,B,138.6
18,A,184.22
48,A,254.41
77,A,538.51
39,A,212.53
161,A,355.47
33,B,198.4
24,A,142.18
176,A,-91.26
147,A,41.74
172,A,478.82
8,A,287.85
60,B,156.25
31,A,308.2
50,B,153.71
136,B,253.91
85,B,138.86
101,A,65.18
153,A,139.53
184,A,103.95
12,B,244.17
69,B,213.97
192,B,136.15
126,A,-155.45
120,B,86.76
182,B,135.05
70,B,158.49
25,B,277.12
9,B,202.52
149,A,17.61
79,A,68.17
11,B,204.02
203,B,245.58
61,A,354.42
96,B,215.39
84,B,198.22
145,B,156.12
98,A,47.95
65,A,201.22
129,B,200.98
3,A,-101.57
37,B,178.6
168,A,257.39
28,B,194.9
76,B,234.58
131,B,169.46
141,B,212.71
186,A,184.35
58,B,161.06
88,A,-114.99
36,B,168.26
103,B,247.8
196,A,428.64
162,A,156.89
142,A,-44.2
173,A,395.1
4,A,60.26
123,B,203.43
194,A,244.02
152,A,130.7
47,B,154.85
191,B,234.18
54,B,132.4
137,B,145.79
87,A,68.91
113,B,202.66
82,B,270.24
134,A,280.38
128,B,205.66
6,B,218.13
163,B,198.38
97,A,497
197,B,273.87
201,B,222.59
124,A,253.3
133,B,162.25
91,A,160.87
138,B,259.15
90,B,202.48
20,A,319.18
62,B,235.32
49,B,232.62
125,A,107.17
21,B,199.56
72,B,126.58
52,B,207.19
46,B,250.15
95,A,190.41
93,B,232.9
73,B,215.39
32,B,160.52
1,B,200.81
89,B,206.29
53,A,182.17
74,A,138.66
86,B,202.66
148,B,222.6
10,A,53.82
112,A,156.82
67,B,168.13
170,B,245.07
43,A,-96.59
22,A,100.88
122,B,214.21
116,B,211.56
183,B,221.85
144,B,116.49
59,B,168.03
17,B,250.82
81,B,82.12
110,B,240.98
189,B,221.09
121,B,311.95
167,A,-38.83
42,B,188.29
68,B,247.18
179,B,244.08
156,B,201.42
26,A,416.41
171,B,183.1
150,A,145.19
151,A,122.2
27,B,171.68
117,B,196.75
146,B,221.29
185,B,170.91
64,B,200.07
83,B,185.49
80,B,172.21
51,B,239.44
159,A,-39.13
94,B,106.76
57,B,205.51
190,B,210.96
135,A,165.62
100,B,157.17
160,A,165.66
104,B,174.27
115,A,326.52
193,B,183.95
119,A,32.31
13,A,426.32
200,A,433.41
181,B,197.49
198,B,174.38
38,B,162.91
169,A,-153.91
199,B,240.49
118,B,171.46
188,B,169.61
23,B,220.1
165,A,127.5
139,B,163.27
55,A,144.32
187,A,-253.62
34,B,192.1
105,B,236.91
16,A,75.63
178,B,235.51
154,B,142.12
109,B,251.47
29,B,192.11
78,B,192.99
41,B,163.74
174,A,106.29
114,B,169.34
14,B,224.38
44,B,194.7
140,A,283.29
195,B,229.17
15,B,199.22
180,A,-117.16
92,B,195.56
7,B,232.03
143,B,163.47
56,A,247.29
158,B,170.86
202,B,259.93
108,B,162.14
127,B,185.5
63,A,342.28
30,A,158.79
71,A,191.99
166,A,296.96
35,A,200.4
40,A,250.94
111,A,-61.55
157,A,453.98
130,B,207.17
177,A,313.46
66,A,546.95
75,B,202.63
45,B,233.12
102,A,97.44
