Subject,A,B
1,8.88,55.73
2,7.36,58.2
3,9.25,58.04
4,8.31,56.66
5,7.69,57.58
6,8.22,57.76
7,6.76,56.19
8,7.53,55.82
9,9.04,57.75
10,6.14,58.35
11,7.45,59.2
12,8.23,56.12
13,5.85,57.02
14,7.15,58.3
15,7.52,58.39
16,7.9,56.81
17,6.99,58.47
18,8.94,57.81
19,7.68,55.8
20,6.48,58.34
21,7.04,58.25
22,7.92,59.43
23,9.27,58.98
24,6.29,57.97
25,6.94,58.74
26,7.13,58.15
27,8.25,57.92
28,8.21,57.23
29,8.28,57.79
30,8.28,58.11
31,6.22,57.36
32,7.5,57.18
33,5.4,57.15
34,5.1,57.45
35,8.38,59.06
36,7.68,57.45
37,7,55.77
38,5.58,57.14
39,6.1,59.17
40,5.76,57.89
41,6.85,58.54
42,6.82,57.44
43,6.31,58.46
44,5.89,57.92
45,6.3,56.48
46,7.6,59.35
47,8.28,59.72
48,8.5,57.7
49,7.33,58
50,7.53,57.18
51,6.98,54.98
52,8.39,58.99
53,8.53,58.43
54,6.33,59.17
55,8.04,57.35
56,5.15,57.78
57,7.27,56.41
58,6.17,55.8
59,6.76,57.66
60,6.35,58.09
61,6.61,57.33
62,7.72,56.61
63,7.07,56.98
64,7.84,56.96
65,4.89,58.1
66,7.75,59.01
67,7.91,56.21
68,5.2,58.15
69,7.7,57.84
70,5.87,57.38
71,7.43,56.6
72,8.81,59.6
73,8.43,59.14
74,6.12,59.2
75,9.19,59.04
76,8.42,57.8
77,9.71,57.6
78,3.39,59.49
79,8.31,58.31
80,6.09,58.61
81,7.3,56.97
82,7.14,59.04
83,7.16,57.49
84,6.43,57.1
85,7.75,57.24
86,8.21,56.03
87,8.35,60.32
88,6.28,57.36
89,6.51,57.18
90,6.8,57.65
91,6.63,57.99
92,7.57,57.55
93,6.6,58.34
94,6.95,56.3
95,9.17,57
96,6.52,57.8
97,5.31,57.98
98,7.35,57.82
99,7.84,56.74
100,7.84,57.59
101,8.29,57.4
102,7.88,61.02
103,7.95,58.88
104,8.42,57.46
105,8.28,58.25
106,9.49,59.32
