Subject,A,B
1,58.19,90.6
2,60.36,91.26
3,60.27,92
4,56.98,91.15
5,57.97,89.28
6,60.31,89.09
7,57.88,91.86
8,60.09,92.19
9,60.04,91.58
10,60.01,91.49
11,59.82,91.98
12,59.43,89.38
13,60.31,91.57
14,59.96,90.31
15,53.94,91
16,58.57,88.57
17,59.85,91.96
18,57.53,92.08
19,56.19,89.41
20,58.14,92.19
21,59.85,91.21
22,58.7,91.36
23,56.29,88.96
24,59.71,91.02
25,59.76,90.13
26,57.48,91.97
27,57.59,91.21
28,60.36,88.28
29,58.67,86.38
30,59.23,91.18
31,58.4,89.48
32,56.59,91.77
33,60.32,91.51
34,58.25,90.86
35,58.07,90.63
36,60.36,91.96
37,58.09,91.69
38,58.66,91.94
39,57.3,90.55
40,55.69,88.77
41,57.36,91.12
42,59.7,91.07
43,58.38,90.32
44,58.83,91.89
45,59.57,91.61
46,56.55,92.12
47,59.04,91.36
48,57.43,91.99
49,60.17,89.66
50,59.34,91.41
51,58.7,91.91
52,55.36,91.48
53,60.12,91.48
54,56.87,91.5
55,58.61,91.46
56,60.3,91.76
57,58.33,90.73
58,60.36,91.95
59,59.58,92.16
60,59.57,92.18
61,60.36,92.15
62,55.96,90.53
63,59.54,89.53
64,58.55,89.87
65,52.87,92.19
66,59.38,92.19
67,53.73,90.54
68,58.45,90.22
69,58.74,91.52
70,60.2,91.04
71,60.23,89.95
72,59.7,92.14
73,60.21,91.65
74,58.24,92.19
75,60.29,90.18
76,58.64,86.33
77,60.05,91.96
78,58.09,88.95
79,60.36,91.63
80,59.21,89.2
81,60.37,91.35
82,57.97,88.87
83,60.03,91.4
84,59.94,89.95
85,60.09,91.42
86,60.37,91.71
87,60.31,89.84
88,56.51,89.12
89,57.62,89.22
90,58.5,88.37
91,60.33,90.96
92,59.33,92.17
93,60.37,90.8
94,60.19,91.57
95,60.37,92.13
96,60.33,92.07
97,59.74,92.19
98,59.71,91.96
99,59.34,91.21
100,57.2,91.97
101,57.54,91.14
102,57.61,90.15
103,60.33,91.92
104,58.67,84.55
105,60.16,91.72
106,59.35,91.15
107,59.17,90.6
108,58.29,92.12
109,59.96,92.2
110,58.51,91.11
111,56,89.18
112,60.32,92.17
113,60.34,92.17
114,60.34,91.81
115,58.97,90.83
116,59.85,90.68
117,58.61,91.61
118,58.91,88.91
119,59.95,90.56
120,59.96,92.12
121,59.81,92.01
122,56.65,91.92
123,59.37,91.64
124,59.54,91.9
125,59.61,91.92
126,58.73,91.98
127,57.58,92.16
128,58.11,89.28
129,58.74,92.11
130,59.78,91.86
131,58.33,91.79
132,59.12,89.68
133,59.66,90.79
134,57.49,90.04
135,57.15,91.67
136,57.94,91.25
137,59.22,89.14
138,59.67,88.61
139,60.2,92.19
140,55.29,89
141,59.45,91.48
142,60.02,89.58
143,59.06,91.51
144,59.54,91.72
145,58.36,91.49
146,59.24,91.64
147,59.42,88.23
148,59.76,89.45
149,53.46,87.53
150,59.79,90.37
151,59.66,91.93
152,60.3,92.14
153,58.99,91.11
154,57.86,89.42
155,59.99,91.56
156,60.36,92.19
157,59.75,91.83
158,60.35,92.01
159,58.55,87.51
160,60.35,90.91
161,58.66,89.99
