Subject,A,B
1,25.16,24.79
2,24.21,23.97
3,23.99,23.48
4,25.67,26.15
5,25.12,25.31
6,25.26,24.91
7,25.52,24
8,24.45,24.93
9,22.5,22.43
10,25.69,26.15
11,25.34,24.06
12,24.97,25.27
13,25.52,26.06
14,24.29,25.66
15,23.86,22.9
16,23.03,22.81
17,23.78,23.39
18,25.98,26.74
19,25.06,24.08
20,27.42,26.75
21,26.22,25.64
22,26.2,26.12
23,22.34,23.22
24,22.5,22.91
25,24.69,25.26
26,24.31,24.36
27,24.15,23.63
28,23.44,23.5
29,22.99,22.78
30,24.86,25.93
31,24.21,23.83
32,23.65,23.79
33,24.24,23.93
34,24.97,24.69
35,23,23.72
36,24.97,24.69
37,26.12,26.69
38,24.47,24.13
39,25.81,25.89
40,24.95,24.97
41,26.2,25.15
42,25.5,25.03
43,24.23,24.29
44,23.35,24.4
45,24.47,24.45
46,23.63,23.51
47,24.05,24.52
48,24.24,25.06
