subject,condition,values
3,B,251.41
146,A,56.34
51,A,211.03
156,A,171.34
115,A,68.57
86,A,222.96
189,A,91.44
59,A,120.19
43,B,379.47
8,A,159.03
42,A,103.55
105,A,135.91
101,B,117.75
117,A,129.18
54,A,65.45
5,A,159.18
73,A,137.41
171,B,-165.33
91,B,212.78
108,A,160.44
68,B,-75.16
125,B,267.58
93,A,171.5
20,A,200.57
139,A,251.15
179,B,375.02
138,B,381.88
94,B,180.73
114,A,57.46
29,A,139.5
26,A,149.91
71,A,97.56
165,A,193.94
87,A,119.22
174,A,213.67
52,A,140.94
40,B,171.16
44,A,90.26
184,B,295
38,A,183.53
198,A,148.82
84,A,137.07
2,B,-265.19
159,B,345.19
37,B,279.78
60,A,184.87
175,A,180.08
4,A,98.15
148,A,159.39
155,A,213.56
31,B,23.94
177,B,268.2
151,B,-31.72
90,A,194.19
39,A,150.21
134,A,84.83
1,B,365.55
128,B,63.92
130,B,38.52
170,A,196.92
141,B,311.37
61,B,111.86
83,A,127.32
56,B,-231.54
195,A,57.3
182,B,-181.71
57,B,-13.83
95,B,249.23
164,B,445.22
149,A,120.1
147,B,-85.47
197,B,116.32
79,B,213.53
65,B,53.86
158,B,311.64
88,B,190.3
191,A,200.77
23,B,237.62
53,B,313.46
126,B,318.76
107,B,-65.74
118,B,223.64
78,B,34.23
32,A,197.02
173,B,176.05
21,B,178.71
55,B,310.36
13,B,34.09
22,B,240.23
113,A,200.12
145,A,184.23
143,A,235.9
122,B,-66.63
41,B,-32.93
46,B,248.93
69,A,147.15
6,A,158.41
50,B,59.09
76,A,114.07
102,A,143.16
96,A,160.73
135,B,276.25
16,B,395.84
7,B,170.35
124,B,312.02
187,B,290.36
127,B,283.45
136,B,120.49
160,B,-258.94
72,A,120.99
66,A,123.22
24,B,310.18
25,B,83.43
163,B,-46.66
190,B,420.48
142,B,136.6
99,B,216.69
15,A,197.12
92,B,354.65
36,A,117.8
19,A,127.87
180,B,387.74
168,B,149.89
45,B,406.95
188,B,257.2
17,B,-48.78
131,A,182.94
81,B,166.37
100,A,120.21
18,B,324.44
35,B,220.7
106,B,306.22
167,A,134.56
137,B,159.65
162,A,180.7
176,B,28.26
47,B,79.35
104,A,212.35
133,B,-137.16
67,A,151.87
75,A,207.91
34,B,347.34
186,B,401.69
62,A,200.34
33,B,221.86
14,B,147.91
109,A,140.88
132,B,-278.91
28,A,192.83
120,A,153.05
152,A,199.98
27,A,172.61
172,B,380.07
74,A,176.77
64,A,187.07
12,A,141.27
116,B,327.41
77,A,236.25
169,A,177.6
9,B,255.32
97,B,302.96
63,B,337.52
185,B,369.4
154,B,293.97
178,B,250.16
49,A,137.43
153,A,223.03
129,A,87.84
144,A,131.16
58,A,208.81
161,A,173.41
11,B,250.48
183,B,293.01
140,A,89.03
121,B,262.59
181,B,123.39
89,B,325.83
196,B,262.12
70,B,314.23
30,B,226.99
192,B,297.92
157,A,95.32
82,B,106.48
103,A,172.05
123,B,22.76
80,B,364.14
98,B,-313.09
112,B,-63.63
193,A,171.53
110,B,265.1
194,A,189.19
111,B,275.14
48,B,284.8
119,A,195.47
166,B,167.26
85,B,331.85
10,B,393.61
150,A,176.07
