subject,condition,values
7,A,505.09
41,A,515.74
43,B,456.47
24,A,471.72
8,A,503.63
32,A,482.22
19,B,475.6
31,A,467.53
10,B,476.41
16,B,463.59
33,B,505.61
1,A,457.15
46,A,488.82
13,B,452.52
44,A,484.76
22,B,469.17
3,A,462.64
12,A,497.83
30,B,445.58
38,A,470.06
36,A,484.18
39,B,470.27
23,B,462.52
17,A,503.45
2,A,485.37
5,B,480.55
28,B,459.26
18,B,434.32
4,B,519.25
25,A,511.04
40,A,532.95
29,A,470.74
21,A,489.9
26,B,462.66
6,B,446.82
15,B,491.36
45,B,477.12
35,B,509.22
27,B,470.37
9,A,466.94
37,A,498.74
34,B,468.3
14,B,482.09
20,A,495.1
47,A,462.46
11,B,461.39
42,A,484.62
