subject,condition,values
8,A,661.12
14,B,658.26
25,B,716.01
16,B,621.27
40,A,671.79
31,B,686.02
24,A,651.24
6,B,695.84
4,A,667.94
21,B,665
22,B,602.79
28,A,674.08
7,B,619.44
23,B,673.8
43,B,690.54
19,A,657.5
5,A,646.45
35,B,662.75
37,A,657.46
13,A,661.54
15,A,659.92
33,B,708.63
3,B,712.67
2,B,747.24
17,B,670.49
27,B,762.78
38,A,661.57
1,A,670.33
29,B,736.76
41,B,683.32
20,A,639.45
26,A,669
9,B,622.75
11,B,685.66
18,A,642.5
30,B,654.17
39,A,650.17
32,A,657.12
42,B,683.36
34,B,635.62
10,A,667.21
36,B,732.41
12,A,659.6
