subject,condition,values
43,A,523.34
63,B,524.47
39,B,467.4
60,A,440.35
102,B,509.37
111,A,534.45
35,A,522.83
89,B,341.72
37,A,507.27
98,A,538.73
44,B,572.95
45,A,560.12
81,B,523.52
93,B,485.06
13,A,419.6
105,B,186.07
64,B,430.13
1,A,555.58
61,A,545.01
29,B,572.77
58,A,524.85
112,B,651.06
11,A,451.51
22,A,445.02
17,A,524.3
53,B,434.2
49,B,479.99
62,B,512.86
96,A,475.05
15,B,505.49
26,B,510.71
99,B,705.56
78,B,453.67
40,A,552.95
91,B,435.59
57,B,431.89
70,A,518.26
3,A,530.76
68,A,529.78
94,A,447.08
76,B,510.44
34,B,436.3
71,A,539.37
20,B,528.59
69,B,657.55
18,B,427.56
55,A,529.94
86,B,542.45
90,B,637.78
25,A,480.12
50,B,428.84
2,A,543.46
77,B,511.43
24,B,600.38
56,B,591
38,B,447.37
48,A,450.71
41,A,511.55
52,A,467.47
84,A,524.21
108,B,456.67
107,B,659.96
66,A,491.03
5,B,561.36
27,B,334.18
23,A,498.84
59,B,357.14
9,B,361.19
106,B,368.64
79,B,424.87
21,B,525.6
31,B,492.37
7,A,498.8
42,B,516.94
88,B,493.97
100,A,461.98
95,A,507.87
74,B,506.21
75,B,342.52
46,A,440.51
104,B,417.17
28,A,535.65
103,A,529.32
19,B,488.79
101,B,491
83,B,393.63
10,A,525.43
92,A,498.97
65,A,550.03
36,A,535.64
109,B,459.07
87,A,553.93
73,B,572.03
85,A,520.8
54,B,565.03
80,B,467.96
14,B,378.1
47,A,490.81
33,B,436.2
4,B,577.59
110,B,393.53
51,B,492.62
82,A,492.73
12,B,703.8
32,A,459.4
67,B,548.64
97,A,504.03
30,B,365.09
8,A,471.25
16,A,548.92
72,A,438.44
6,A,503.83
