subject,condition,values
96,B,881.51
10,B,910.77
75,A,834.4
89,B,889.49
86,B,933.69
40,A,873.91
92,B,951.25
51,B,936.47
37,A,903.18
85,A,924.67
52,B,890.82
63,B,926.9
62,B,907.91
74,B,924.42
106,B,906.08
14,B,873.05
34,B,885.32
58,B,916
105,B,921.22
112,A,892.34
101,B,908.31
18,B,886.54
8,A,1022.48
88,A,953.01
78,B,871.17
43,B,919.74
77,B,894.01
6,B,933.64
45,B,883.3
107,A,954.48
65,B,919.96
97,B,869.56
71,B,829.19
91,A,812.54
94,A,1003.72
73,B,953.57
12,A,893.68
7,B,947.08
103,A,993.6
20,A,719.93
33,B,949.19
81,B,925.89
67,A,999.39
38,A,868.1
102,A,954.81
25,A,833.63
19,A,899.84
110,A,942.49
16,B,890.38
36,A,872.48
29,B,882.97
28,B,863.59
32,A,1031.11
27,A,821.18
83,B,925.2
69,A,865.57
111,B,906.14
1,A,912.6
109,B,906.85
55,A,1003.28
35,B,888.05
99,B,937.67
9,B,844.72
54,A,757.79
2,A,813.7
90,B,897.39
56,B,931.01
48,A,906.83
66,B,907.06
64,B,894.32
47,B,878.4
4,B,905.1
42,A,838.29
68,B,890.89
70,A,1074.62
17,B,924.79
41,B,922.17
79,B,913.93
53,B,931.18
11,A,892.39
57,A,929.18
84,B,928.28
100,A,863.4
21,B,954.77
80,A,843.81
98,B,886.94
49,B,933.84
87,A,966.56
95,A,831.73
82,A,970.94
108,B,900.39
44,B,877.17
22,A,1004.11
26,A,775.1
104,A,857.59
15,B,913.57
46,B,904.63
39,B,912.61
5,A,834.34
61,B,861.29
59,A,915.76
50,A,870.38
30,A,900.59
31,A,935.7
24,A,972.21
3,B,884.3
76,B,938
93,A,924.09
23,A,923.91
60,A,840.43
72,A,882.76
13,B,918.48
