subject,condition,values
99,A,544.98
36,B,550.71
165,A,565.16
92,B,569.75
57,B,593.4
138,A,565.22
118,B,557.97
63,A,534.21
146,A,572.31
103,B,552.53
114,A,546.21
43,B,587.78
71,B,556.87
8,B,557.5
32,B,569.8
119,A,570.17
81,A,573.21
61,A,558.1
93,B,554.92
122,A,553.47
87,B,554.29
82,B,538.81
84,B,576.29
107,A,534.52
145,A,598.34
167,A,550.19
166,A,530.01
105,B,546.1
143,B,539.34
90,B,566.29
175,B,548.49
72,B,553.86
164,B,547.49
42,B,599.2
10,A,527.95
148,A,552.47
128,A,571.14
158,B,584.89
144,B,552.55
106,A,559.53
29,A,568.29
9,B,573
74,A,534.98
102,B,567.31
11,B,633.06
20,A,544.92
115,B,537.87
12,A,587.4
126,A,551.22
168,B,556.65
97,B,624.88
120,B,597.8
85,B,581.75
131,B,554.06
69,A,556.33
33,B,597.58
88,B,562.91
14,B,590.58
124,B,568.74
59,B,606.86
22,B,577.95
100,A,468.84
98,A,539.17
16,B,542.8
151,A,550.08
178,A,567.92
113,B,579.81
174,A,561.65
45,A,562.52
108,B,621.28
163,A,555.33
83,A,523.37
49,B,616.53
28,B,583.94
161,B,561.48
160,B,556.39
58,B,560.14
40,A,548.07
7,B,588.1
27,B,539.12
172,A,575.57
37,B,591.46
94,A,571.5
129,A,575.72
2,A,560.24
13,A,554.75
60,B,568.78
139,B,576
149,A,582.46
52,B,575.05
73,A,529.41
44,B,581.29
104,B,560.37
30,A,555.76
116,A,521.54
95,A,547.78
39,A,572.07
4,B,551.73
51,B,547.79
66,B,567.03
130,A,553.15
23,B,568.32
153,A,549.32
157,A,579.86
140,A,580.07
110,A,544.6
109,A,558.39
67,A,537.03
135,B,547.19
147,A,590.14
173,B,575.73
53,B,603.56
1,A,546.34
154,B,562.04
65,B,544.36
91,A,583.32
54,A,528.93
121,A,563.65
64,A,555.05
77,B,616.1
18,A,559.19
34,B,602.34
56,B,567.98
156,A,535.08
24,A,568.25
50,B,570.84
152,B,554.92
48,B,540.57
142,B,542.88
15,B,558.59
170,B,556.35
3,A,546.81
55,A,583.92
137,A,518.06
162,A,567.95
111,B,572.91
155,B,581.32
5,B,610.58
21,B,552.13
80,B,577.03
68,B,563.08
70,B,543.26
19,B,547.55
176,A,554.29
112,B,563.66
101,A,563.31
127,B,599.6
79,A,562.36
25,A,595.39
38,B,605.24
76,B,549.71
86,B,555.78
125,B,539.55
136,B,568.23
41,B,594.35
133,B,616.04
96,A,509.7
46,B,573.04
6,A,576.09
78,A,552.14
169,B,560.76
75,B,552.03
171,B,588.68
117,A,577.29
89,B,570.39
62,B,598.48
35,A,593.25
26,B,548.48
159,A,562.27
134,A,562.66
31,B,555.55
141,A,598.37
132,A,553.6
123,B,551.61
150,A,552.79
47,B,574.34
177,A,520.09
17,B,601.4
