subject,condition,values
98,B,513.61
40,B,597.06
1,B,538.52
41,B,561.15
8,A,537.37
14,B,515.71
110,A,445.96
132,B,478.95
43,A,541.35
54,A,407.67
88,A,537.78
56,B,513.47
68,B,551.8
103,B,543.52
84,A,496.72
79,A,433.82
35,B,478.38
92,A,550.04
49,B,474.63
133,B,538.33
77,B,587.99
67,A,510.68
87,B,510.23
146,B,481.24
125,B,513.36
143,A,549.37
118,B,581.94
99,A,520
11,B,505.47
13,A,542.5
27,A,473.26
46,B,520.55
138,B,514.24
30,B,663.88
80,B,468.6
144,B,559.2
22,B,536.25
59,A,566.19
10,B,474.99
71,B,489.14
85,B,562.77
31,A,524.03
70,B,530.24
141,B,523.2
127,A,531.3
9,B,481.98
21,B,587.27
135,A,572.23
62,B,562.36
6,B,557.8
44,B,501.05
130,B,532.23
39,A,468.68
24,A,491.48
116,B,600.36
101,A,533.49
124,B,524.37
131,B,593.09
2,B,562.16
107,B,507.65
61,B,532.84
65,A,522.09
119,A,522.28
123,B,587.25
95,B,484.65
47,A,521.59
145,A,514.58
83,B,635.09
42,A,464.06
3,A,493.63
48,A,537.49
82,B,519.99
17,B,578.07
18,B,555.01
53,A,555.26
114,B,514.23
58,B,566.57
36,A,443.19
129,B,554.38
23,B,477.97
121,B,548.37
120,A,522.51
12,B,478.91
15,A,435.9
128,A,595.75
109,B,468.86
94,B,531.55
137,B,469.68
93,A,505.05
142,B,475.39
113,B,478.34
60,A,470.46
7,A,482.82
134,A,510.33
32,B,481.34
136,A,450.98
33,B,503.19
69,B,489.99
20,B,468.65
91,B,476.59
104,B,608.9
4,A,460.73
74,B,533.42
117,A,512.31
100,B,472.99
51,A,495.75
90,A,525.47
45,B,512.7
19,A,573.23
64,B,568.49
89,B,559.98
38,B,634.86
112,B,674.05
57,A,472.04
25,A,472.84
105,B,634.4
37,A,553.51
26,A,472.23
73,B,544.28
126,A,521.19
5,A,522.15
52,A,520.86
16,B,490.39
63,A,441.7
28,A,516.35
78,A,492.02
76,B,474.14
111,A,520.47
97,B,491.2
50,B,531.98
102,B,479.55
29,A,497.9
75,A,549.94
72,A,494.93
66,B,491.37
140,B,530.37
55,A,498.54
106,B,614.01
139,B,575.13
115,A,502.46
81,B,585.89
108,B,466.31
96,B,502.72
86,B,608.79
122,B,502.58
34,B,517.32
