subject,condition,values
47,B,414.39
110,A,335.59
78,B,137.78
20,A,241.28
34,B,291.16
43,B,138.32
17,A,307.11
50,A,330.64
101,A,392.85
70,B,196.18
92,B,90.94
104,B,643.86
58,B,83
111,A,351.36
52,B,266.78
91,B,207.68
1,A,345.95
66,A,325.47
2,A,334.13
8,B,267.8
81,B,150.86
90,A,326.23
29,A,290.03
88,A,256.98
87,B,554.28
83,B,570.14
32,A,293.35
14,A,351.4
4,B,173.64
26,B,220.6
67,B,64.92
114,A,315.09
44,A,280.54
95,A,392.34
11,B,690.87
63,A,254.86
109,B,57.39
51,A,298.33
48,A,276.64
72,B,429.02
23,A,348.76
3,B,135.56
49,B,237.85
31,A,277.57
55,B,187.92
61,B,380.53
98,B,467.01
69,A,283.05
6,A,331.56
56,B,154.82
18,B,74.73
37,A,379.29
76,B,83.19
97,B,8.81
15,B,114.79
13,A,262.28
68,B,434.48
19,A,300.46
105,A,316.54
85,A,271.61
108,A,280.16
113,B,243.42
115,B,524.91
42,A,295
10,B,258.73
107,B,273.83
77,B,117.91
7,B,348.67
53,A,298.48
65,B,32.75
25,A,298.03
5,B,221.48
112,A,261.11
59,A,244.06
84,A,376.13
94,B,198.9
54,A,286.67
64,A,337.98
73,A,308.28
82,B,692.9
74,B,101.03
86,B,52.19
12,B,159.56
40,A,335.38
16,A,256.57
9,B,196.41
21,B,116.84
33,A,372.66
22,B,243.54
99,B,113.66
96,B,58.46
71,A,345.58
35,B,255.1
93,B,160.99
45,B,251.76
62,A,295.05
41,A,345.72
28,A,263.35
60,B,41.04
46,A,243.64
38,A,301.36
30,A,253.89
79,A,231.69
27,A,271.33
103,A,286.66
39,A,300.59
100,A,313.66
57,A,282.22
36,B,171.81
24,B,95.88
89,A,288.09
102,A,325.65
106,B,434.08
80,B,220.22
75,A,289.96
