Subject,A,B
1,78.01,80.34
2,79.47,80.68
3,79.35,79.32
4,79.06,79.04
5,79.86,79.24
6,80.35,80.28
7,80.58,79.33
8,77.62,79.92
9,79.6,78.43
10,81.05,78.78
11,79.37,80.21
12,79.15,79.78
13,81.33,80.3
14,81.14,78.78
15,79.77,80.15
16,77.32,79.96
17,79.03,81.27
18,79.86,77.84
19,78.72,78.93
20,78.98,81.79
21,79.12,81.3
22,80.09,78.28
23,80.79,78.25
24,81.46,81.41
25,78.33,80.46
26,78.59,79.27
27,78.34,80.31
28,79.58,80
29,79.5,79.81
30,79.38,78.55
31,79.14,80.46
32,79.25,79.31
33,79.24,81.49
34,78.54,80.03
35,79.01,80.92
36,81.29,79.12
37,77.76,79.7
38,80.66,80.06
39,78.52,79.55
40,80.08,79.56
41,79.41,80.52
42,79.73,80.78
43,79.01,78.21
44,80.71,81.22
45,81.54,79.46
46,80.43,78.94
47,80.31,78.3
48,78.27,80.41
49,80.19,80.24
50,79.87,80.49
51,80.42,80.78
52,80.49,80.24
53,79.51,79.82
54,81.05,80.19
55,79.27,82.17
56,78.32,80.55
57,81.82,79.12
58,79.51,79.35
59,79.89,80.6
60,79.73,79.02
61,80.75,78.88
62,80.65,79.26
63,81.29,78.87
64,80.03,79.84
65,79.17,79.78
66,80.67,79.69
67,80.64,80.28
68,80.19,79.24
69,78.77,79.74
70,78.46,80.08
71,79.76,79.02
72,78.89,77.83
73,77.85,80.72
74,80.68,79.47
75,79.88,79.33
76,79.48,79.8
77,79.9,79.43
78,79.94,81.61
79,80.85,78.95
80,80.14,78.77
81,78.12,80.37
82,79.09,80.93
83,79.66,80.72
84,79.79,79.19
85,81.32,79.86
86,78.22,79.29
87,79.92,81.67
88,78.67,79.67
89,80.43,80.88
90,77.11,81.18
91,78.96,80.64
92,79.67,81.05
93,80.4,80.04
94,79.96,78.82
95,80.37,79.71
96,80.81,77.78
97,80.52,78.4
98,79.93,79.54
99,79.97,80.72
100,79.89,79.29
101,80.39,79.75
102,80.85,80.53
103,79.76,79.7
104,79.83,79.42
105,78.86,80.82
106,79.05,82.25
107,80.71,79.22
108,78.67,80.06
109,77.91,80.09
110,79.52,78.49
111,79.56,78.64
112,78.46,79.7
113,81.09,80.12
114,78.47,78.79
115,78.69,79.79
116,79.62,79.72
117,79.64,79.83
118,79.93,79.54
119,80.67,78.86
120,79.26,79.86
121,81.21,77.91
122,79.61,78.84
123,79.27,79.15
124,77.5,81.77
125,78.76,79.25
126,79.63,80.25
127,80.76,79.63
128,78.56,79.25
129,78.95,80.79
130,79.44,79.47
131,81.37,80.36
132,81.38,79.36
133,79.24,79.92
134,79.15,78.17
135,79.76,80.79
136,79.55,79.54
137,80.93,78.96
138,80.17,79.22
139,79.22,80
140,79.53,80.21
141,79.13,79.48
142,80.77,81.21
143,79.52,79.41
144,81.08,80.32
145,81.43,78.34
146,80.18,81.03
147,79.02,78.95
148,79.64,79.16
149,80.59,80.23
150,80.47,79.1
151,79.01,79.67
152,80.99,80.73
153,78.89,80.71
154,79.59,80.66
155,80.01,80.33
156,78.1,79.49
157,80.96,79.47
158,82,78.97
159,80.68,81.21
160,79.24,81.07
161,80.08,80.13
162,81.56,78.74
163,79.22,80.32
164,79.2,79.04
165,80.53,80
166,79.58,80.23
167,79.33,79.52
168,78.82,80.2
169,78.61,80.31
170,81.26,80.44
171,79,78.94
172,81.02,79.07
173,80.63,81
174,78.13,79.69
175,80.58,79.81
176,79.2,79.79
177,78.87,80.47
178,80.08,79.37
179,78.53,79.83
180,80.36,79.66
181,78.78,80.88
