subject,treatment,values
29,B,634.92
6,B,646.87
26,A,416.8
3,B,504.97
22,A,545.77
25,A,618.22
48,A,705.09
12,B,653.31
18,B,571.88
24,A,637.12
37,A,479.14
33,B,570.08
45,B,627.36
7,B,551.54
9,B,629.6
44,A,471.92
1,B,610.37
34,A,599.64
43,A,901.3
42,A,709.13
23,B,659.14
11,A,553.48
35,A,626.55
27,A,778.64
46,A,331.41
5,A,804.68
38,B,587.44
19,B,674.47
28,B,573.02
30,A,637.41
15,A,707.73
32,B,539.03
20,A,939.5
4,B,605.77
16,B,593.3
10,B,494.42
8,B,608.76
39,B,555.58
14,A,575.26
41,A,794.22
40,B,571.25
17,A,550.4
31,B,648.94
36,A,503.76
47,B,623.43
21,A,602.25
2,B,599.6
13,A,563.7
