Subject,A,B
1,51.6,71.3
2,49.94,71.23
3,48.75,72.2
4,51.12,73.32
5,50.85,72.34
6,52.02,72.89
7,50.73,71.84
8,50.49,74.2
9,50.01,71.47
10,50.2,73.16
11,51.39,73.03
12,50.93,71.96
13,49.85,71.06
14,50.56,71.48
15,48.95,72.11
16,50.13,70.85
17,51.19,71.04
18,50.47,70.61
19,49.91,70.76
20,50.56,72.81
21,50.74,71.52
22,49.22,71.55
23,49.28,72.57
24,49.44,72.33
25,48.75,72.41
26,49.38,72.01
27,48.18,72.72
28,48.73,72.25
29,48.66,70.98
30,52.53,73.6
31,49.9,71.3
32,49.6,71.35
33,48.45,72.82
34,51.3,70.65
35,48.33,71.03
36,49.49,74.75
37,48.76,72.11
38,50.78,72.66
39,51.01,71.17
40,49.07,73.38
41,50.92,72.12
42,48.67,71.76
43,51.27,73.51
44,50.25,71.3
45,52.57,73.54
46,49.01,72.37
