Subject,A,B
1,43.81,12.41
2,45.33,11.12
3,44.79,11.13
4,43.96,12
5,44.16,12.4
6,46.6,9.5
7,43.52,12.71
8,45.07,10.74
9,47.97,8.62
10,46.3,9.84
11,45.82,10.7
12,44.29,11.57
13,45.8,10.55
14,44.77,11.9
15,44.37,12.16
16,46.01,10.07
17,46.67,10.14
18,45.28,11.8
19,44.88,11.81
20,46.31,9.87
21,46.84,9.19
22,46.41,10.18
23,46.06,10.52
24,45.59,10.55
25,45.64,11.11
26,45,11.49
27,45.77,10.91
28,44.48,11.8
29,43.89,12.74
30,46.38,10.77
31,45.37,11.54
32,45.41,11.17
33,42.5,13.75
34,44.86,11.57
35,44.48,11.74
36,45.29,11.41
37,45.37,11.6
38,45.75,9.53
39,45.68,10.52
40,44.32,12.77
41,45.22,11.41
42,46.22,9.66
43,44.71,12.05
44,46.02,10.29
45,47.61,8.77
46,43.65,12.61
47,44.44,11.58
48,43.57,11.99
49,46.37,9.95
50,45.61,10.97
51,45.3,11.18
52,46.18,10.65
53,45.99,9.88
54,44.36,12.06
55,45.77,11.29
56,45.71,11.13
57,44.08,11.73
58,45.99,9.84
59,44.11,12.17
60,44.66,11.72
61,46.6,10.15
62,46.35,10.04
63,43.66,13.25
64,45.24,11.41
65,45.07,11.59
66,45.29,11.84
67,45,11.76
68,43.69,12.47
69,44.44,12.82
70,44.49,11.66
71,44.36,12
72,44.43,12.12
73,47.13,9.31
74,45.18,11.07
75,46.49,10.22
76,44.71,11.54
77,44.02,12.07
78,45.46,11.13
79,45.08,11.12
80,45.87,10.96
81,45.42,11.49
82,45.26,11.18
83,45.58,10.91
84,45.81,10.66
85,43.69,12.42
86,45.28,11.32
87,45.46,10.94
88,44.63,11.67
89,43.75,12.16
90,47.41,9.02
91,45.34,11.05
92,44.68,11.23
93,47.38,8.81
94,46.6,10.18
95,44.28,12.27
96,45.23,10.78
97,43.69,12.16
98,42.98,13.27
99,46.19,10.48
100,45.92,10.24
101,43.5,12.24
102,44.29,12.52
103,46.81,9.2
104,43.06,13.27
105,44.43,12.06
106,46.75,9.72
107,45.88,10.91
108,45.34,11.22
109,46.13,10.54
110,44.71,11.98
111,44.34,12.05
112,45.61,11.11
113,45.69,10.97
114,45.38,11.43
115,46.24,10.5
116,47.9,8.7
117,45.1,11.77
118,44.67,11.01
119,44.9,11.29
120,46.32,9.85
121,46.67,9.98
122,45.76,10.98
123,45.8,10.69
124,43.88,12.18
125,45.11,11.47
126,45.15,11.89
127,47.07,10.08
128,47.5,9.33
129,44.03,12.61
130,45.17,11.08
131,44.35,13.24
132,45.41,11.17
133,46.5,9.87
134,43.48,13.18
135,44.15,12.62
136,45.66,11.21
137,45.58,10.62
138,45.16,11.25
139,45.46,10.54
140,45.54,10.71
141,44.63,11.94
142,46.51,9.52
143,45.05,10.84
144,45.92,10.33
145,45.89,11.28
146,45.05,11.46
147,45.06,11.13
148,47.18,9.63
149,43.64,13.26
150,43.83,13.02
151,46.09,10.85
152,44.22,11.69
153,44.15,11.83
154,44.55,12.08
155,44.52,11.59
156,45.94,10.91
157,47.54,9.33
158,44.5,11.92
159,46.11,10.2
160,48.09,9.11
161,44.93,10.76
162,44.36,12.48
163,42.88,13.05
164,42.78,13.24
165,43.98,12.98
166,46.18,10.29
167,44.99,11.51
168,43.41,12.98
169,43.61,12.51
170,46.72,9.45
171,43.42,12.84
172,45.1,11.83
173,45.3,11.23
174,45.93,10.48
175,46.73,10.11
176,45.68,11.22
177,44.81,11.38
178,43.73,13.04
179,45.04,12.07
180,44.82,11.27
181,45.89,10.76
182,45.31,11.17
183,45.63,10.63
184,46.72,9.9
185,44.28,12.6
186,45.96,10.18
187,46.35,10.48
188,45.66,11.31
189,45.82,10.72
190,44.07,12.2
191,44.44,11.93
192,45.27,11.67
193,44.84,12.25
194,45.3,11.32
195,44.26,12.25
196,44.12,11.88
197,45.8,10.55
198,45.24,10.86
199,46.08,10.5
200,46.66,10.13
201,45.67,11.08
202,44.48,11.53
203,45.64,11.3
204,45.21,11.6
205,46.45,9.67
206,47.2,10.08
207,43.75,12.81
208,45.29,10.76
209,46.54,9.57
210,47.66,9.99
211,47.6,8.78
212,46.17,10.11
213,44.47,11.87
214,45.46,11.52
215,44.27,12.13
216,44.36,11.77
217,44.22,11.86
218,46.5,9.88
219,44.93,12.24
220,46.37,9.44
221,44.75,11.94
222,45.45,10.97
223,46.14,10.32
224,47.16,9.66
225,45.03,10.99
226,44.94,11.76
227,46.16,9.89
228,44.49,11.85
229,46.58,9.98
230,45.86,10.36
231,44.79,11.36
232,43.91,12.61
233,43.16,13.59
234,45.49,11.09
235,45.19,11.93
236,46.21,10.6
237,43.24,12.35
238,43.5,13.23
239,45.19,11.41
240,46.53,9.76
241,45.61,11.67
242,43.8,13.14
243,44.76,11.92
244,45.47,10.89
245,44.51,12.02
246,44.08,12.03
247,45.73,10.44
248,45.97,10.27
249,46.48,9.98
250,46.66,9.63
251,43.62,12.33
252,44.98,11.4
253,44.75,12.33
254,44.24,12.13
255,45.7,10.94
256,45.28,11.15
257,44.42,11.87
258,45.31,11.04
259,45.01,11.25
260,44.82,11.74
261,44.48,11.84
262,45.11,11.19
