Subject,A,B
1,15.06,4.33
2,15.77,3.3
3,14.97,3.19
4,15.35,3.44
5,14.74,5.29
6,19.97,3.14
7,14.81,3.36
8,18.99,6.77
9,15.01,5.12
10,15.7,7.9
11,14.77,5.88
12,14.71,4.6
13,15.96,3.78
14,17.58,4.83
15,17,3.16
16,16.24,4
17,15.17,5.38
18,14.77,3.14
19,14.71,7.91
20,19.81,3.29
21,14.71,6.03
22,15.57,5.63
23,17.54,3.14
24,15.03,3.25
25,16.35,5.59
26,14.71,5.09
27,19.72,4.67
28,20.29,4.09
29,15.02,4.26
30,16.76,5.63
31,17.09,3.19
32,14.75,3.94
33,14.91,3.42
34,16.57,3.23
35,16.07,3.6
36,15.7,4.42
37,14.73,3.43
38,14.72,4.68
39,14.71,3.58
40,18.14,4.1
41,14.98,4.42
42,14.71,4.3
43,17.24,3.49
44,15.02,3.81
45,18.07,3.3
46,14.71,4.69
47,16.88,3.16
48,15.22,4.41
49,14.91,3.38
50,15.01,3.32
51,14.76,4.33
52,16.18,3.93
53,16.24,3.56
54,15.76,3.26
55,15.03,3.22
56,14.79,6.39
57,16.22,4.69
58,15.36,3.49
59,15.25,3.24
60,14.99,3.92
61,16.81,5.64
62,15.09,3.4
63,14.91,4.62
64,18.66,3.65
65,14.72,6.42
66,18.8,4.03
67,14.76,6.4
68,16.76,3.15
69,14.72,3.17
70,18.35,4.55
71,18.2,7.91
72,15.32,3.6
73,16.89,3.42
74,17.96,6.47
75,14.72,4.65
76,15.55,4.65
77,15.42,4.4
78,14.71,3.44
79,16.07,3.27
80,16.95,3.31
81,14.79,4.05
82,15,3.25
83,16.02,5.59
84,17.41,4.06
85,15.35,3.18
86,15.68,5.17
87,15.12,3.31
88,15.3,3.28
89,14.89,3.84
90,15.16,7.74
91,20.84,4.66
92,15.11,3.96
93,15.91,3.24
94,19.02,5.8
95,15.2,3.35
96,14.72,5.28
97,14.88,7.27
98,17.49,6.76
99,16.27,5.59
100,17.29,7.04
101,16.56,3.18
102,16.26,4.33
103,16.85,4.72
104,14.92,3.33
105,14.71,4.79
106,15.12,3.56
107,15.35,3.56
108,19.81,4.49
109,19.29,3.93
110,15.09,3.47
111,15.56,3.21
112,16.08,3.33
113,17.83,3.14
114,17.51,4.65
115,15.98,3.87
116,15.02,4.74
117,16.2,5.47
118,14.71,4.8
119,14.79,3.51
120,17.93,3.73
121,14.74,4.65
122,15.16,4.45
123,17.25,5.8
124,14.87,3.92
125,16.55,3.15
126,16.14,3.18
127,14.87,3.17
128,14.95,6.71
129,14.9,4.89
130,15.08,4.38
131,14.71,4.06
132,16.19,5.56
133,15.06,4.32
134,14.81,3.6
135,15.05,7.57
136,14.91,7.7
137,19.73,8.65
138,19.93,4.38
139,14.93,3.28
140,16.19,5.57
141,18.99,4.05
142,16.56,5.67
143,15.27,4.96
144,15.56,4.61
145,15.06,5.5
146,16.56,5.29
147,15.92,4.03
148,17.91,4.39
149,17.72,3.4
150,18.97,4.02
151,17.51,3.27
152,15.27,4.41
153,20.4,3.15
154,14.86,3.14
155,15.11,4.36
156,16.5,4.67
157,15.99,3.83
158,20.18,9.25
159,15.51,3.44
160,15.57,5.07
161,18.91,3.17
162,16.69,3.14
163,14.76,3.45
164,15.15,3.15
165,16.58,5.78
166,14.86,3.74
167,15.96,3.41
168,15.6,7.7
169,15.85,3.36
170,14.74,3.39
171,17.91,3.38
172,14.89,3.8
173,15.68,3.83
174,14.83,3.7
175,14.74,3.14
176,14.98,5.5
177,14.75,3.25
178,14.98,7.26
179,15.01,3.74
180,15,4
181,16.3,3.14
182,14.76,3.83
183,17.64,3.4
184,14.97,3.14
185,14.81,5.09
186,17.06,7.39
187,18.35,4.33
188,18.64,4.08
189,17.15,8.72
190,15.63,4.17
191,14.78,3.5
192,15.05,3.49
193,15.5,4.36
194,17.13,3.18
195,14.85,4
196,14.73,3.31
197,15.03,4.18
198,16.47,3.66
199,15.03,5.03
200,15.25,3.41
201,15.16,3.85
202,15.91,5.07
203,16.84,3.25
