subject,condition,values
184,B,748.14
269,B,929.51
258,B,698.77
98,A,610
124,B,464.05
65,B,502.15
200,A,602.86
94,A,660.35
262,B,582.21
193,B,384.94
161,B,486.51
218,B,747.81
170,B,654.41
29,B,582.89
127,B,636.44
88,B,698.26
55,A,548.3
201,B,853.04
59,B,643.56
183,A,616.92
101,A,603.01
186,A,630.59
104,A,551.1
112,B,246.2
273,B,667.74
145,A,638.04
266,A,626.63
58,B,505.02
175,A,599.91
268,A,601.35
81,B,542.88
169,A,573.44
63,A,633.73
42,B,815.55
8,B,720.48
153,A,634.72
247,A,709.87
278,A,526.84
102,A,556.34
91,B,585.4
155,A,551.89
83,B,251.61
185,B,564.84
180,B,419.76
139,A,588.7
243,B,714.07
22,A,669.3
233,A,608.99
67,B,619.13
99,A,588.43
23,B,398.25
158,A,659.45
103,A,621.87
24,A,653.35
206,B,778.37
90,A,615.05
141,A,618.71
121,B,689.12
79,B,475.14
82,B,598.97
251,B,536.14
123,B,655.5
216,A,589.55
75,B,451.44
72,B,473.76
157,A,586.16
71,A,639.85
140,A,626.1
196,A,576.23
129,B,895.46
25,B,545.12
31,B,737.62
192,A,567.84
244,B,612.93
11,A,559.81
174,A,606.36
221,A,617.88
252,A,571.04
208,A,613.11
164,A,583.78
225,A,629.75
154,A,643.18
246,B,648.39
60,A,672.88
254,B,381.55
45,A,596.43
126,A,606.11
138,A,623.63
234,B,686.42
40,B,653.16
237,B,601.82
97,A,646.08
182,B,482.07
231,A,614.99
32,A,682.8
232,A,581.07
176,A,656.28
260,A,593.72
136,A,610.18
279,B,618.87
92,B,558.55
87,B,747.88
191,B,510.8
245,A,651.86
162,B,480.15
117,A,560.82
199,B,525.71
119,A,617.03
242,B,637.54
190,B,364.74
18,A,655.14
165,A,618.14
80,B,421.41
9,A,603.97
14,A,631.16
256,B,471.06
255,B,716.15
20,B,608.71
271,A,597.17
64,A,587.77
203,B,356.69
263,A,656.46
150,B,585.3
35,B,691.36
114,A,606.95
277,B,513.83
229,A,648.47
28,A,658.54
70,B,534.51
130,A,613.55
179,B,520.23
144,A,587.47
78,B,456.64
115,B,582.92
239,A,627.45
69,B,639.39
38,A,597.65
159,B,638.83
272,B,510.77
163,A,565.53
187,B,994.12
188,A,587.48
54,A,612.87
265,A,588.19
33,B,757.55
26,A,592.8
212,A,612.04
134,B,702.26
219,A,713.47
214,A,631.88
220,A,607.42
215,A,609.83
120,A,632.34
62,A,591.62
147,B,680.65
96,B,590.61
4,A,600.87
5,A,648.7
2,A,692.53
280,A,628.81
113,A,586.59
143,A,576.25
37,B,493.35
107,A,587.86
27,B,586.92
17,A,660.91
222,B,584.59
223,A,534.19
167,B,796.97
264,A,643.83
109,A,621.43
238,A,683.88
128,B,681.06
116,B,529.83
52,A,600.02
270,B,567.4
3,B,317.85
230,A,588.99
36,B,490.37
125,B,645.36
172,A,610.43
178,B,740.51
177,B,426.85
133,B,499.6
205,B,606.8
74,A,611.55
53,A,659.25
211,B,716.15
259,A,621.73
84,B,520.01
68,B,435.43
12,A,627.97
19,A,623.08
204,A,653.71
149,A,637.31
152,A,597.39
86,A,527.19
135,B,426.04
274,A,524.96
235,B,556.08
160,B,601.87
168,B,294.72
118,B,654.3
39,A,645.05
181,A,631.32
61,B,507.42
106,B,847.94
95,B,426.35
148,B,826.84
261,B,733.02
276,B,800.01
227,A,596.08
198,A,606.36
248,B,574.08
56,B,742.86
111,B,517.67
47,B,301.2
41,A,588.31
207,B,664.48
151,B,485.42
241,B,527.87
21,B,626.16
110,A,612.4
202,B,661.7
89,B,522.01
173,A,612.97
249,A,590.83
1,B,605.65
50,A,585.03
15,A,641.03
100,A,634.86
240,A,576.14
267,A,560.97
30,A,549.39
142,A,606.33
197,B,766.15
93,B,775.18
281,A,629.71
122,B,651.6
85,A,554.67
257,B,618.02
171,A,617.39
253,B,542.48
210,B,463.44
131,B,333.24
156,B,677.48
195,B,607.48
213,B,274.14
7,B,533.42
217,A,625.44
34,A,661.36
51,B,648.94
194,B,517.31
226,B,553.15
76,A,603.24
108,B,447.98
132,A,586.78
236,B,585.71
209,B,580.85
10,B,650.41
228,B,593.61
57,B,279
224,A,630.84
43,A,631.54
137,A,594.69
66,A,597.94
105,B,504.8
13,B,436.91
16,B,680.95
146,B,437.04
6,A,606.86
49,B,369.82
250,B,565.12
46,A,594.28
189,A,615.28
44,A,617.91
48,A,639.48
275,A,557.97
77,B,771.71
73,A,700.39
166,B,451.71
