subject,treatment,values
40,A,495.71
18,A,501.94
23,A,514.48
46,B,615.45
30,A,502.43
35,B,610.31
11,A,643.02
20,B,649.49
26,A,579.25
22,A,570.94
3,B,627.27
1,A,532.66
33,B,552
10,A,572.86
9,B,676.42
16,A,609.79
34,B,566.3
42,B,578.92
17,A,570.81
8,A,604.56
36,B,635.83
43,A,596.84
29,A,565.52
28,B,592.78
14,B,584.37
2,B,604.84
41,B,619.07
15,B,579.3
32,B,610.33
39,A,570.27
31,A,570.59
37,B,579.28
25,B,613.48
27,B,602.85
21,A,641.74
4,A,553.16
45,A,697.25
12,B,570.08
19,B,640.55
6,A,518.32
5,A,590.62
47,B,585.36
44,B,647.87
13,B,527.76
24,A,662.52
38,A,655.1
7,A,541.73
