subject,condition,values
134,A,500.72
104,B,503.62
162,A,491.65
33,A,532.41
3,A,511
41,A,575.24
182,B,489.2
140,B,526.65
94,B,523.77
133,A,566.02
88,B,504.1
83,B,515.75
143,B,491.97
21,B,510.26
31,B,499.41
184,A,524.08
93,B,510.17
69,A,469.18
122,A,472.16
27,A,477.91
30,B,580.38
106,B,495.94
110,B,477.32
107,B,506.76
103,A,483.24
180,A,547.47
48,A,432.03
89,B,526.86
78,B,499.87
119,B,481.71
43,B,487.63
56,A,494.75
178,A,605.73
179,B,500.63
73,B,523.2
65,A,558.62
159,B,553.62
102,A,477.01
61,B,507.78
79,B,511.83
112,A,560.75
185,A,431.49
151,A,393.39
169,A,408.98
161,A,479.04
114,B,475.33
53,A,531.68
144,A,561.12
16,B,535.53
5,B,526.17
127,A,564.68
62,A,555.98
117,A,486.97
171,B,472.15
100,B,519.35
131,A,588.97
74,A,558.48
80,B,516.86
8,A,511.4
23,A,484.42
49,A,503.79
59,B,516.26
150,B,503.89
42,B,519.68
18,A,508.56
193,A,542.83
60,A,411.09
191,B,493.95
11,A,518.45
170,A,532.42
142,B,519.8
123,B,512.64
129,B,470.44
75,A,466.14
152,B,520.92
136,A,448.39
187,B,495.88
166,A,491.58
190,B,510.03
111,A,493.15
177,B,522.62
26,B,549.83
128,B,498.91
175,B,496.78
76,B,519.86
86,B,496.72
156,A,434.23
176,B,524.4
188,A,577.84
168,B,525.37
7,A,544.91
138,B,506.64
37,A,552.63
36,B,564.99
149,B,485.36
47,B,492.77
15,A,530.7
12,A,463.61
165,A,446.43
70,B,562.77
121,A,522.67
77,B,494.87
57,B,539.04
163,B,494.51
174,B,535.53
109,A,533.09
55,A,561.69
116,B,523.55
124,B,477.68
95,B,535.18
145,A,601.68
13,B,502.74
113,A,599.72
2,A,462.46
164,B,508.76
17,A,432.11
141,B,491.95
40,B,477.58
132,B,524.81
90,A,578.97
120,B,516.48
137,B,496.54
167,B,517.77
68,B,546.48
99,B,517.42
39,B,533.37
25,B,492.25
158,A,544.1
108,B,506.36
38,B,480.72
126,B,473.89
67,B,531.93
118,A,570.54
66,A,580.11
28,B,502.28
54,A,497.15
85,A,510.45
14,A,459.63
160,B,508.94
45,B,517.04
154,B,531.77
44,A,589.36
32,B,497.08
153,B,517.81
82,B,508.34
24,B,491.45
157,B,489.72
173,A,507.39
87,A,412.04
148,A,507.12
52,B,462.97
189,A,587.68
146,B,540.82
181,B,502.15
97,A,506.75
91,B,504.71
194,B,520.48
84,A,506.51
105,A,513.86
183,A,496.92
19,B,520.83
135,A,539.26
63,B,524.43
96,A,498.13
35,B,559.71
172,B,487.86
186,B,478.05
50,B,512.71
51,A,492.97
22,A,431.18
125,B,473.32
29,B,525.93
4,A,554.41
192,B,503.21
155,A,474.55
115,B,521.62
71,A,453.59
46,A,494.73
64,A,556.69
6,A,537.11
98,A,526.24
101,A,602.32
34,A,477.32
81,A,515.29
139,B,514.46
58,B,518.02
9,B,492.88
72,B,479.05
147,A,450.36
1,B,509.5
10,B,530.65
130,B,498.71
92,B,530.92
20,B,516.92
