subject,group,values
1,B,146.56
3,A,145.41
32,A,116.11
14,A,134.67
4,B,149.18
26,A,160.47
6,B,135.7
33,A,132.1
13,B,153.77
38,B,123.37
29,B,189.65
25,B,132.97
19,A,145.34
39,A,161.87
17,A,147.35
42,A,155.52
8,B,153.17
41,A,146.6
5,A,137
12,B,147.64
28,B,133.65
31,B,123.2
10,A,136.86
40,A,141.85
16,B,149.93
22,B,177.25
24,B,149.08
21,A,145.8
18,B,130.45
7,B,128.66
34,A,141.51
37,A,163.84
11,B,179.8
30,A,151.28
36,B,165.74
15,B,149.77
20,A,143.45
2,A,126.63
23,B,143.62
27,B,184.68
35,A,173.22
9,A,88.96
