subject,treatment,values
75,A,896.85
46,B,821.26
112,A,918.8
85,B,832.38
19,B,868.25
121,B,1001.19
133,B,1005.68
131,A,913.47
108,B,904.62
81,A,851.27
120,A,852.05
150,B,900.88
14,A,905.2
29,B,860.98
104,B,955.72
158,A,911.51
54,B,822.68
91,B,873.75
134,B,866.92
48,A,900.5
138,B,873.35
64,B,972.23
88,B,933.79
123,A,917.98
155,A,883.92
99,B,980.73
82,B,940.79
89,A,863.55
38,B,829.57
10,A,907.46
22,B,922.82
50,B,1006.73
32,A,876.97
70,A,878.29
124,A,872.2
95,B,911.34
153,A,866.81
63,B,888.98
15,A,878.03
71,B,967.03
39,A,879.23
156,A,921.89
145,B,855.8
143,B,982.69
45,B,857.85
1,A,886.27
23,B,904.54
42,B,796.34
132,B,845.3
61,A,868.94
83,A,886.05
113,B,826.45
20,B,956.3
87,B,788.92
96,A,901.78
128,A,873.34
40,A,921.92
28,B,939.56
139,A,864.62
142,A,869.69
52,B,820.05
4,A,884.94
53,A,912.39
35,A,889.39
116,A,881.67
94,A,909.47
67,A,889.85
77,A,893.78
105,B,856.4
33,B,874.24
21,A,873.99
74,A,868.88
11,A,882.59
57,B,816.13
136,A,861.49
68,B,906.26
147,A,876.26
69,B,990.42
49,B,824.8
122,B,805.4
107,B,848.82
146,A,880.84
2,A,875.3
152,B,828.14
72,A,901.32
118,B,904.34
109,A,899.23
31,A,918.92
115,A,866.52
30,A,882.51
86,A,885.98
3,B,931.51
59,A,859.6
106,A,887.89
126,A,869.13
100,B,898.5
66,A,873.36
160,A,905.87
135,A,918.59
26,B,902.41
159,B,954.29
12,A,890.54
17,B,799.49
90,B,834.89
37,B,938.88
103,B,794.56
16,A,896.29
80,B,908.59
137,B,861.11
24,A,906.08
110,A,903.58
13,A,866.01
129,B,1050.98
25,A,878.95
36,A,887.9
56,A,891.1
141,A,923.9
51,B,1065.9
18,B,806.01
130,B,876.69
111,A,886.62
117,A,876.34
55,B,858.55
148,B,823.87
8,B,1008.25
93,A,910.05
62,B,1001.61
9,A,896.74
125,B,960.78
149,B,828.77
98,A,880.47
76,A,926.2
41,B,824.49
140,B,931.41
44,A,904.65
119,B,879.53
7,B,929.59
5,B,785.6
73,A,889.74
157,A,834.17
154,A,891.69
27,A,878.69
114,A,906.07
47,A,882.1
60,A,884.62
97,B,837.3
92,B,952.63
78,B,852.27
101,A,890.68
65,B,778.12
79,B,833.54
102,A,899.5
151,A,877.67
84,B,868.7
43,B,901.81
58,B,926.66
34,B,800.18
6,B,825.87
127,A,876.25
144,B,819.02
