subject,treatment,values
30,B,888.18
3,A,672.65
83,B,905.46
121,A,1205.78
27,B,907.53
102,B,861.49
76,B,819.33
59,A,978.8
17,A,984.11
33,B,874.56
49,B,880.18
10,B,898.46
29,A,836.45
87,B,883.61
37,A,728.17
108,A,1274.11
95,B,926.42
65,A,929.21
117,B,858.61
8,B,911.51
119,B,856.94
14,B,859.5
93,A,1058.54
107,B,922.69
42,B,915.75
25,A,1245.26
13,A,875.94
81,A,799.41
99,A,908.52
70,B,825.17
53,B,904.31
105,A,601.13
58,A,1132.2
40,B,838.03
16,B,913.48
74,A,1042.07
57,B,922.27
97,B,934.31
120,B,922.46
90,A,805.83
63,B,870.67
75,B,889.37
114,A,1225.48
26,B,922.56
89,A,880.98
69,B,907.6
100,A,765.68
54,A,529.99
55,B,838.03
23,A,1205.57
11,A,1109.03
12,B,901.83
124,A,940.64
7,A,1129.03
46,A,734.11
104,B,927.21
31,A,1018.03
82,A,751.51
73,B,866.96
111,B,916.22
47,B,816.49
109,B,882.21
92,B,895.31
115,B,891.86
41,B,895.76
116,B,898.98
91,B,848.38
43,A,490.09
60,A,1143.57
62,B,780
21,A,1090.13
61,B,834.59
32,B,897.51
15,A,1208.97
101,A,833.75
94,A,870.19
113,A,827.53
103,B,875.49
36,B,799.75
22,B,765.24
35,A,931.55
79,B,874.89
68,A,1295.66
5,A,757.18
51,A,755.01
39,A,679.85
123,A,907.4
20,B,903.94
28,A,916.6
88,A,804.29
80,B,871.47
52,B,877.51
96,B,872
125,B,903.48
122,A,960.29
2,B,880.92
48,A,923.19
77,B,928
86,B,927.19
6,A,955.24
66,A,1058.41
64,B,845.26
45,B,747.95
72,B,773.58
56,B,845.76
44,A,990.04
85,A,1208.78
18,A,1054.66
4,A,1186.46
19,A,1367.06
112,B,879.23
118,B,837
50,A,842.81
38,B,920.75
78,A,832.42
98,B,833.28
84,A,1179.54
71,B,902.99
9,B,873.62
106,B,925.47
34,B,873.89
1,B,861.22
110,A,1367.92
24,B,785.56
67,B,880.03
