subject,treatment,values
54,B,888.09
99,A,882.63
110,A,899.31
134,A,922.52
97,B,899.48
103,B,903.26
70,A,875.55
61,A,908.23
63,A,881.04
15,B,876.89
38,B,885.16
57,B,932.02
120,A,880.56
6,A,909.74
39,A,875.84
72,A,891.18
137,B,913.49
23,B,888.11
123,B,900.78
75,B,879.19
98,B,905.06
117,A,867.1
65,A,869.2
59,A,911.06
64,A,872.35
133,B,889.67
26,A,918.11
84,B,884.94
29,B,904.52
96,A,920.29
89,A,885.46
4,B,895.16
135,A,930.21
36,A,890.48
80,B,929.48
118,A,893.18
68,A,871.23
78,B,893.04
52,A,911
17,A,927.04
71,B,876.46
34,B,882.7
46,A,877.81
66,A,902.96
37,B,890.39
55,B,885.48
82,A,923.36
14,A,874.75
124,B,882.58
31,A,884.92
18,A,917.11
100,B,920.96
90,A,880.97
43,B,919.63
119,B,893.9
22,B,894.35
20,A,921.38
73,A,893.21
45,B,879.25
19,A,904.87
53,A,847.93
86,B,910.87
101,A,899.04
125,B,878.22
130,A,913.4
10,B,947.75
62,A,911.21
116,B,881.59
32,A,889.56
79,A,875.77
111,A,903.42
50,B,928.86
24,B,941.46
1,B,880.08
2,B,887.43
132,A,919.41
88,B,902.25
41,B,908.93
109,B,904.76
77,B,882.44
33,A,888.24
122,A,904.2
121,B,919.01
48,B,878.02
126,B,915
81,A,931.97
30,A,903.02
9,B,887.21
74,B,893.11
113,A,910.43
128,A,927.25
25,B,905.9
115,A,918.45
129,A,926.92
58,A,875.03
42,B,892.37
16,A,891.99
92,B,893.56
67,A,899.04
108,B,878.99
40,A,888.07
12,B,877.1
112,A,884.67
27,A,909.28
11,B,875.45
56,A,902.26
95,B,890.35
76,B,904.48
85,A,906.3
7,B,891.72
136,A,929.92
91,B,878.05
87,A,931.99
49,B,880.78
131,B,897.06
106,B,899.46
94,B,879.48
35,A,913.82
47,A,889.5
13,A,882.7
107,B,895.02
102,A,890.14
51,A,898.53
60,A,877.9
5,B,932.61
8,B,906.94
21,B,905.52
69,B,893.08
114,A,939.68
105,B,926.04
3,B,887.13
104,B,895.36
28,B,887.39
83,A,912.35
93,A,903.49
44,B,909.5
127,B,918.95
