subject,treatment,values
57,A,512.9
71,B,546.4
36,A,492.29
138,A,535.53
114,A,513.01
85,A,489.7
120,B,490.28
119,A,518.33
63,B,549.91
143,B,530.07
45,B,582.81
23,A,526.53
3,A,512.99
135,B,557.52
67,A,530.63
28,B,513.7
137,B,479.11
19,A,494.17
66,B,459.8
131,B,550.56
4,A,499.58
13,B,506.76
105,B,505.65
111,B,571.96
100,B,519.81
73,A,490.26
108,A,519.19
136,A,505.23
54,B,515.48
62,A,519.55
91,A,504.27
107,A,530.39
15,B,511.58
21,B,484.46
76,B,546.29
31,B,504.48
141,A,512.57
95,A,529.55
82,B,530.38
94,A,527.95
92,B,536.19
5,B,477.65
47,B,500.73
2,B,492.82
116,B,512.69
18,B,525.9
12,B,536.09
33,A,528.97
83,A,518.82
46,B,498.73
139,B,454.16
146,B,560.72
29,B,604.84
56,A,500.74
53,B,540.03
60,B,521.87
140,B,502.67
144,A,544.76
41,B,549.05
77,A,517.3
20,B,518.65
93,A,519.07
43,B,532.29
37,A,491.47
42,B,508.65
32,A,503.19
81,B,566.6
88,B,544.51
126,A,513.5
127,A,517.76
30,B,514.9
148,A,495.53
97,A,507.84
134,B,573.21
121,B,512.45
133,A,514.09
59,A,502.44
52,B,514.79
130,A,517.98
75,B,494.01
122,A,519.78
117,A,523.11
74,B,535.73
115,A,509.56
35,B,510.24
8,B,500.36
90,B,553.04
103,A,480.76
70,B,533.06
102,A,510.18
112,A,501.7
84,B,505.61
22,B,488.99
68,B,519.91
50,B,479.4
11,B,438.21
125,B,493.21
145,A,527.27
34,B,533.58
79,B,502.33
17,A,489.21
49,B,506.37
40,A,524.37
109,B,543.27
104,B,496.22
9,B,527.72
24,B,523.65
142,B,493.46
86,B,521.3
87,B,555
27,A,504.13
55,B,516.45
132,B,620.21
128,A,509.28
65,A,505.29
39,B,524.83
124,A,517.39
6,B,519.15
58,A,490.45
129,B,520.27
61,B,578.24
26,A,480.9
106,B,554.38
25,B,600.92
16,A,520.43
48,B,571.61
98,B,490.49
38,A,493.61
123,B,479.04
110,B,475.95
72,A,522.37
80,B,508.68
10,B,593.8
14,B,564.49
64,A,485.19
118,B,557.85
113,B,622.19
89,A,544.95
78,B,522.82
101,B,494.06
69,B,521.69
51,A,513.22
99,A,515.4
96,B,547.21
44,A,538.72
147,B,577.2
1,A,520.98
7,B,480.66
