subject,condition,values
123,B,227.01
125,A,186.51
70,A,152.76
61,A,191.97
108,B,189.62
104,A,135.23
41,B,228.84
3,A,154.74
26,A,162.99
90,A,306
5,A,147.51
44,B,111.28
37,A,160.59
72,B,204.49
116,B,201.68
105,A,133.02
124,B,163.65
139,B,166.11
87,B,166.63
50,B,187.39
58,A,177.11
119,B,190.97
127,B,183.92
45,B,194.74
48,B,103.71
130,B,218.39
39,B,175.72
146,A,137.73
43,A,136.65
128,B,202.75
98,B,142.39
151,A,147.26
109,A,150.96
132,B,152.56
114,A,120.34
56,A,148.8
23,B,194.82
17,A,179.89
91,B,180.76
83,A,140.85
29,B,185.77
27,A,206.67
49,B,170.02
133,B,196.2
73,B,147.86
11,B,154.34
15,A,159.11
137,A,164.42
55,A,134.78
76,A,189.07
102,A,182.64
122,A,187.39
67,B,203.55
97,A,163.14
144,B,178.43
121,A,120.48
120,A,129.47
51,A,178.01
1,B,111.99
88,A,129.98
34,A,228.14
152,B,204.85
111,B,161.7
21,B,210.82
14,B,173.09
142,B,164.58
136,A,150.99
42,B,175.11
54,B,213.75
4,A,181.73
126,B,185.12
140,A,231.85
145,B,169.99
118,B,150.15
62,B,178.55
113,B,193.66
101,B,227.32
103,B,137.06
16,B,117.75
66,A,199.5
65,B,264.88
38,A,162.79
24,B,245.43
143,A,158.72
80,A,220.19
9,A,140.72
40,B,179.43
85,A,148.39
99,B,178.2
19,B,239.86
18,B,210.46
150,A,238.28
141,A,120.22
68,B,216.73
22,A,137.81
110,A,152.24
12,B,256.99
138,B,171.18
81,B,173.23
28,B,214.54
33,A,144.46
25,B,183.79
89,B,149.66
78,A,175.23
115,A,209.66
92,A,193.93
96,A,257.83
95,B,173.16
10,B,183.98
52,A,129.36
6,B,205.21
47,B,198.31
106,A,192.99
8,A,153.3
147,B,126.96
131,A,188
59,A,137.31
117,A,142.68
53,B,225.29
75,B,122.91
112,B,219.71
31,A,287.6
57,B,164.2
148,B,213.56
84,A,163.61
100,A,131.71
36,B,178.48
82,A,133.09
129,A,150.74
63,A,186.9
77,A,116.23
86,B,137.51
20,B,233.15
71,A,197.55
7,A,140.85
64,A,143.52
94,A,143.88
30,B,149.63
46,B,190.82
134,A,165.61
79,B,228.23
135,B,172.69
13,A,139.8
149,A,219.93
2,A,163.41
107,A,174.54
93,A,133.59
32,A,189.92
69,B,132.36
35,A,230.16
74,A,171.33
60,B,233.82
