subject,group,values
168,B,802.98
66,B,800.74
9,A,866.95
209,B,896.34
231,A,900.47
223,A,805.5
154,B,1160.93
40,B,832.75
14,A,819.88
141,B,798.6
185,B,693.34
93,A,867.81
142,B,823.17
118,B,812.08
94,B,666.99
28,B,939.52
90,A,835.87
121,B,659.94
10,A,805.73
159,A,876.41
191,B,882.93
193,B,969.8
128,B,763.13
112,B,933.91
208,A,888.67
42,B,808.62
161,B,751.76
131,A,869.52
59,B,746.22
215,A,944.71
123,A,895.07
80,B,883.15
157,A,787.9
37,A,858.86
19,B,991.53
39,B,835.95
22,A,830.13
133,B,910.48
41,B,832.96
105,A,845.25
75,B,845.35
206,B,904.79
95,A,872.84
31,B,864.84
100,B,877.44
149,B,715.15
155,A,796.56
57,A,873.31
54,B,1037.82
158,A,804.41
15,A,782.55
84,B,917
224,A,884.04
32,A,839.01
182,A,961.31
1,B,778.56
78,B,863.18
135,B,822.09
151,B,863.91
119,B,766.94
61,B,901.57
68,B,889.56
71,B,956.92
104,B,717.77
203,A,832.18
178,B,854.37
222,A,895.76
172,A,784.24
114,B,961.69
173,A,893.67
6,A,846.3
165,B,855.97
107,A,822.51
97,B,798.36
52,B,885.49
12,B,865.27
43,B,1034.08
175,B,868.92
153,A,854.49
18,B,780.71
74,A,774.39
16,B,841.7
134,B,921.53
88,B,924.2
23,B,741.72
132,B,614.44
83,B,787.8
233,A,870.89
221,B,824.37
63,B,936.66
160,A,830.78
70,B,719.5
3,A,899.63
110,A,884.84
229,B,743.67
139,A,936.88
65,B,945.65
98,A,841.82
55,B,820.32
29,B,884.36
108,A,877.77
170,A,877.41
26,A,910.41
137,B,975.97
163,A,908.76
125,A,874.48
204,B,1113.28
51,B,909.4
24,A,866.02
87,A,879.55
197,B,774.26
111,B,827.88
194,A,903.14
115,B,971.12
200,B,769.32
82,B,910.65
187,B,982.72
216,B,883.43
152,A,850.39
69,A,846.22
164,B,742.95
49,B,856.07
34,B,871.62
62,B,897.61
210,B,921.85
179,A,910.36
189,B,772.8
213,A,814.86
148,B,963.89
45,A,850.56
122,B,668.15
188,B,716.84
17,B,913.98
50,A,878.96
8,B,900.19
145,A,874.34
89,B,878.51
91,A,883.29
46,A,865.58
38,A,869.3
150,A,890.05
77,A,877.25
186,B,811.47
144,A,898.49
171,B,888.15
184,A,897.47
138,B,882.73
117,B,892.9
79,B,687.74
235,B,927.74
156,A,887.25
58,B,955.95
183,A,883.07
113,A,908.25
202,A,871.21
35,A,857.69
226,B,919.72
196,B,772.7
136,A,873.14
166,A,914.54
176,A,813.17
129,A,888.36
177,A,900.55
60,B,917.77
4,B,857.85
218,B,828.52
47,B,736.74
99,A,835.62
64,B,952.95
86,A,861.05
109,A,804.27
120,B,598.08
126,A,758.13
103,B,726.54
5,B,845.61
205,A,802.59
212,A,797.05
214,B,914.74
73,A,887.96
198,B,1006.47
162,A,819.05
220,B,767.86
174,B,830.52
181,B,905.39
13,B,715.68
96,A,885.39
21,B,637.25
102,A,888.74
85,B,902.86
7,B,858.62
207,B,660.46
48,B,939.25
72,A,887.97
81,A,827.26
127,A,890.77
44,A,850.66
143,B,949.96
146,B,854.63
225,A,824.6
2,B,907.38
106,A,870.68
20,A,886.06
211,B,549.14
217,A,785.87
169,B,778.08
56,B,849.6
195,B,879.88
230,B,813.18
11,A,878.03
199,B,787.1
201,A,812.45
33,A,828.48
140,B,924.04
234,B,863.36
30,B,865.19
227,B,877.79
92,A,846.2
76,B,969.42
101,B,973.78
147,A,879.7
53,A,916.79
130,A,787.05
27,B,872.84
228,B,948.66
192,A,832.11
219,A,802.38
67,B,763.3
116,B,814.12
167,A,878.96
25,A,900.85
232,A,861.34
124,A,883.92
180,A,870.12
36,A,883.83
190,A,897.13
