subject,treatment,values
18,B,785.72
22,B,746.16
40,A,934.64
2,B,763.08
8,A,680.11
24,B,768.83
35,A,833.19
14,A,713.93
12,B,750.14
32,A,878.65
13,A,963.26
27,B,769.7
25,A,805.26
36,B,769.95
44,A,640.72
15,B,746.99
21,A,726.37
28,A,865.45
17,B,762.89
5,A,780.03
33,B,749.57
38,A,686.82
47,A,815.04
37,B,728.32
34,B,761.89
45,A,865.68
3,B,740.57
20,A,976.44
41,A,824.69
7,B,713.48
42,A,710.71
23,B,774.83
30,B,736.5
19,A,735.26
11,B,749.86
31,B,757.27
46,B,727.7
1,A,747.38
6,A,872.92
9,B,778.41
39,B,758.81
26,B,735.52
43,B,750.32
16,A,832.41
4,A,890.52
29,A,855.21
10,A,951.5
