subject,condition,values
32,A,664.82
4,B,599.65
23,A,670.11
9,B,614.44
30,B,709.3
8,B,699.76
19,A,664.24
22,A,686.31
17,B,845.32
40,A,692.59
25,B,994.93
10,B,686.21
31,A,677.16
13,A,657.9
38,B,462.51
21,A,635.54
20,B,674.18
6,B,682.3
34,A,738.66
24,B,731.34
15,B,711.61
2,B,811.12
36,A,622.18
1,B,541.78
35,A,691.17
16,B,781
29,A,662.91
12,B,610.96
5,A,705.99
7,A,685.98
11,A,695.39
41,B,703.48
39,B,689.5
26,A,741.38
37,A,616.58
33,A,577.25
28,B,699.81
42,B,761.3
27,A,721.11
18,B,778.03
3,B,769.3
14,B,633.61
