subject,condition,values
2,B,832.05
18,B,840.77
13,B,747.88
43,B,853.51
7,A,932.1
20,A,1035.81
6,B,823.81
12,A,1228.79
14,A,568.37
10,B,867.01
19,A,641.01
17,A,735.72
28,A,710.52
3,B,797.21
9,B,908.41
5,B,801.06
27,B,769.79
39,B,813.14
44,A,821.02
34,B,847.05
4,B,812.45
24,A,1027.15
42,B,786.72
37,B,775.98
23,B,833.42
36,A,853.39
40,B,854.64
29,B,847.4
8,A,802.06
33,B,805.44
38,A,594.13
22,B,777.54
41,B,809.64
25,B,762.51
35,A,1047.56
30,A,569.33
15,A,795.24
11,B,801.48
26,A,874.27
31,A,986.29
16,B,757.76
1,B,804.32
21,B,819.35
32,A,1099.16
