subject,condition,values
20,B,353
194,B,382.1
191,B,403.52
120,A,388.69
43,A,256.16
15,B,316.63
162,A,576.84
201,B,351.34
57,A,321.09
84,B,335.87
141,B,312.26
52,B,347.76
93,A,310.04
170,A,297.38
213,B,400.67
148,B,383.58
171,A,423.9
196,B,329.48
245,B,340.03
155,B,435.08
270,B,331.79
90,A,483.76
112,B,359.3
62,B,314.52
91,A,235.26
173,B,362.06
107,A,257.25
147,B,365.7
267,B,346.7
102,A,395.88
3,B,335.38
19,A,422.62
238,A,312.13
150,B,329.42
202,B,369.3
258,A,335.42
48,B,376.53
53,A,398.06
144,A,338.67
1,A,461.64
273,B,432.43
146,A,415.26
108,A,409.25
178,B,402.08
36,B,347.96
207,A,270.64
167,A,408.45
132,B,442.11
71,B,366.57
124,B,361.09
92,B,474.44
85,B,334.61
118,A,419.64
229,B,357.65
185,B,345.66
123,B,346.68
219,B,333.8
248,B,441.47
9,A,491.09
17,B,391.05
225,A,457.33
252,B,308.57
45,A,503.01
103,A,328.07
135,B,325.78
12,A,97.92
242,A,299.36
136,B,433.25
260,B,349.46
7,A,286.4
215,B,325.94
28,B,310.83
241,B,333.95
49,A,400.92
220,A,403.36
39,B,351.78
64,B,367.86
249,B,320.83
232,B,399.35
254,B,378.53
114,A,429.01
274,A,373.52
69,A,442.71
72,B,384.17
79,B,419.68
149,A,300.32
110,B,342.27
204,B,429.57
47,A,185.59
243,B,354.92
205,B,314.67
40,A,314.89
156,A,337.95
174,B,353.6
126,B,315.99
117,B,424.57
104,B,366.83
11,B,406.86
80,B,321.11
25,B,370.21
35,B,348.26
75,A,353.57
180,A,355.16
161,B,312.09
55,B,342.48
83,B,422.77
4,A,451.25
166,A,390.47
78,B,377.64
129,B,332.56
24,B,389.15
231,B,380.46
247,B,384
218,B,314.91
214,B,351.64
209,B,468.93
125,B,448.3
157,A,190.77
68,B,339.96
272,A,225.51
101,B,473.93
257,B,329.67
143,A,298.05
33,B,323.86
216,B,400.09
163,B,343.18
183,B,355.29
30,A,322.66
234,A,359.38
128,B,319.46
192,B,323.64
122,B,323.97
251,B,336.23
266,B,312.95
235,B,357.37
94,B,313.97
51,A,316.61
262,A,282.44
179,B,382.57
18,A,157.75
164,B,323.74
16,B,331.4
6,A,454.6
197,B,320.98
189,B,357.75
269,B,357.36
59,A,330.45
61,A,421.87
95,B,466.16
96,B,375.82
111,A,522.28
88,B,351.11
31,A,358.7
239,A,450.6
208,B,382.5
227,A,104.88
255,B,346.85
244,B,351.26
176,B,323.63
250,B,334.7
142,B,324.88
198,B,496.32
158,B,396.8
113,A,495.1
188,A,445.43
139,A,403.3
2,B,451
186,B,353.18
121,A,387.64
184,A,335.84
138,A,269.65
44,B,321.19
160,B,324.35
81,B,302.9
54,A,285.79
66,B,307.71
10,B,364.13
70,A,432.7
217,A,429.43
74,A,477.92
169,B,357.69
154,B,421.6
226,B,376.76
246,B,363.64
98,A,394.56
264,A,357.02
223,B,447.63
60,A,358.04
41,A,211.9
8,B,383.66
29,A,473.38
21,A,273.97
193,B,347.72
275,B,359.67
181,B,398.18
222,A,311.78
211,B,328.86
5,A,308.32
261,A,335.42
276,A,426.72
37,B,332.24
127,B,436.56
130,A,282.01
268,B,451.01
190,B,444.65
182,A,360.66
140,B,322.04
240,A,125.57
199,A,250.1
152,B,370.42
76,A,271.74
195,A,198.85
224,B,448.46
253,A,375.68
230,A,362.87
237,A,454.02
137,B,378.15
145,B,363.96
187,B,355.17
116,B,420.06
159,B,369.66
86,B,333.64
212,B,329.03
256,A,358.87
236,B,347.09
32,B,305.5
34,A,344.7
168,B,323.87
100,B,388.2
259,B,413.04
106,A,358.05
233,A,376.92
151,B,327.68
46,B,316.66
14,B,320.66
172,A,444.15
228,A,401.53
109,A,288.15
58,B,394.22
271,B,321.96
42,A,301.87
23,A,370.97
63,B,342.99
87,B,330.22
82,B,365.71
99,B,342.3
134,B,360.4
26,B,393.1
65,A,280.29
206,A,522.13
22,A,347.89
89,B,318.22
165,A,349.37
175,A,308.24
153,A,401.45
210,A,461.11
131,B,384.8
56,A,306.45
13,B,380.22
97,A,283.34
263,B,401.71
133,A,445.74
265,A,419.12
200,B,384.41
27,A,483.04
203,B,353.04
73,A,295.63
115,B,349.82
277,B,328.62
50,B,320.75
38,B,325.22
105,A,313.87
221,A,255.94
119,A,490.5
67,B,328.92
77,B,380.68
177,B,358.36
