subject,condition,values
159,A,34.64
150,A,40.67
5,A,112.35
165,B,54.31
49,A,43.35
46,B,66.29
29,A,66.33
93,B,63.95
151,A,31.53
28,B,18.63
56,B,54.3
152,B,-3.55
80,A,-38.99
115,B,44.89
127,B,21.05
107,A,59.53
92,A,18.72
157,B,37.1
148,B,49.31
111,A,24.12
51,B,8.03
109,B,18.92
76,A,18.16
124,B,50.46
166,B,18.4
3,B,92.55
48,A,-24.34
103,B,39.23
36,B,24.35
163,B,21.56
63,B,53.32
83,A,10.66
30,B,81.26
38,B,-7.77
156,B,16.06
146,B,28.47
105,A,38.26
6,B,84.74
43,B,6.38
108,A,-1.39
10,B,40.19
65,A,2.49
72,A,-20.49
97,B,1.77
94,B,17.23
11,B,12.76
78,B,5.36
9,B,12.97
145,B,31.06
134,B,63.2
67,A,21.2
75,A,7.35
117,A,20.77
8,A,45.35
136,A,39.65
116,A,23.13
2,A,42.78
66,A,51.39
91,B,111.19
26,B,15.96
86,A,-29.28
158,B,43.38
149,B,21.5
121,B,75.24
130,A,1.49
12,A,22.84
70,B,128.8
128,B,62.86
57,B,8.34
7,A,5.74
90,A,58.38
20,B,44.97
32,B,5.82
154,B,44.23
50,B,74.72
60,A,24.71
33,A,22.93
84,B,103.54
82,A,17.27
153,A,9.12
162,B,74.22
100,B,57.1
69,B,-5.44
17,B,61.19
47,B,13.32
106,B,-1.63
14,A,95.75
23,A,28.5
1,B,2.5
140,B,20.78
133,B,6.47
55,B,90.91
42,B,19.16
15,A,87.5
13,A,37.5
81,B,66.77
44,B,27.76
131,B,-5.2
147,B,5.8
73,A,-10.49
142,B,23.86
87,B,11.1
77,B,63.26
64,B,45.78
85,B,31.46
104,B,11.68
120,A,15.73
126,B,10.93
4,A,66.98
113,B,3.62
31,A,72.58
161,A,26.25
138,A,33.29
137,B,14.5
110,B,14.83
155,B,48.15
40,B,10.97
74,A,73.69
139,A,0.78
125,B,25.7
144,B,4.93
22,A,57.56
118,A,-17.76
52,B,53.92
102,B,28.67
122,A,27.18
58,A,41.75
21,B,86.66
25,A,-34.26
129,A,30.28
71,A,22.19
54,B,7.29
59,B,35.18
89,B,6.16
16,B,86.97
123,A,76.18
112,B,33.39
95,A,67.37
19,A,29.84
167,B,48.52
37,B,42.84
160,A,40.87
18,B,47.54
135,B,30.41
34,B,78.18
35,B,45.32
61,A,0.05
98,B,69.56
164,A,79.51
114,A,18.12
143,B,35.36
24,B,40.69
39,B,2.6
79,A,41.13
62,B,27.67
88,B,13.38
53,A,0.15
45,A,74.36
41,A,27.94
99,A,52.95
132,B,32.84
101,A,42.6
68,B,108.11
141,A,32.77
96,B,48.56
119,B,102.05
27,B,53.99
