subject,treatment,values
103,B,908.25
68,B,965.36
109,A,967.26
11,B,943.89
88,A,968.7
91,B,955.65
95,A,947.61
73,B,956.34
63,A,932.22
19,B,957.82
25,B,929.46
14,B,937.52
81,B,949.41
7,B,959.57
37,A,943.5
116,B,972.27
41,B,989.69
100,A,934.91
97,B,950.45
35,A,954.09
54,A,963.99
107,A,969.14
49,A,941.33
99,B,969.76
61,B,975.12
13,A,978.42
16,A,958.07
75,A,939.25
84,B,984.79
93,A,907.8
86,B,958.24
44,B,936.29
72,B,951.89
21,B,958.68
89,A,970.83
98,B,926.67
115,B,971.28
30,A,949.05
85,A,933.94
5,B,924.54
108,A,939.07
70,A,978.45
113,A,944.96
48,A,970.24
106,B,974.04
12,B,955.62
55,B,958.27
8,A,938.54
45,B,936.99
2,B,960.2
79,B,951.35
82,A,935.3
53,A,955.55
40,A,915.33
28,B,923.37
77,A,970.77
38,B,964.38
18,A,936.06
22,A,954.4
43,B,954.09
6,A,985.97
62,B,956.28
114,B,933.99
117,A,940.72
3,A,937.09
24,A,956.06
78,A,926.99
32,B,951.56
23,A,953.29
69,B,975.1
65,B,958.11
90,B,943.55
67,B,928.89
83,B,961.15
74,B,957.04
20,B,958.88
9,B,967.09
102,B,933.03
57,A,937.45
29,B,995.52
80,B,958.42
60,B,943.82
27,B,970.25
94,A,939.31
87,A,939.48
64,B,958.95
46,B,946.15
26,B,947.98
15,A,937.51
110,B,937.16
34,B,958.52
59,B,953.48
4,A,957.61
71,B,930.35
10,A,956.6
105,A,927.29
17,B,944.65
118,A,948.62
92,A,963.94
52,A,952.72
47,A,940.98
76,B,959.23
96,A,957.11
58,A,938.65
119,A,947.74
104,A,971.49
50,B,974.23
31,B,970.52
56,B,975.83
33,B,962.44
51,B,952.74
39,A,961.34
42,A,938.49
112,B,948.98
101,B,947.48
1,A,964.4
36,A,929.99
66,B,954.2
111,B,950.77
