subject,group,values
46,B,964.55
17,A,969.43
49,B,926.85
53,A,941.05
41,A,964.02
96,B,969.77
34,B,972.9
123,B,963.34
83,B,962.22
55,B,971.79
112,B,958.11
114,B,974.63
106,B,951.87
28,A,1024.33
58,A,932.7
26,B,938.07
85,A,987.83
18,B,972.94
63,A,956.33
68,B,974.81
119,A,996.76
74,A,979.56
4,B,958.71
87,A,921.79
103,B,948.2
115,B,955.85
35,B,955.35
104,A,919.68
44,A,984.77
91,A,866
110,B,982.76
15,A,870.7
93,A,905.54
38,B,971.38
109,B,978.48
99,A,1007.06
48,A,1015.98
56,B,972.29
40,B,961.98
1,A,963.97
24,B,950.11
98,B,978.48
50,A,927.27
45,B,964.05
51,A,1016.76
125,A,917.99
90,B,961.08
10,B,957.43
79,B,974.7
77,B,960.49
76,A,987.01
39,B,957.16
111,A,964.27
108,A,933.12
67,B,980.58
72,A,949
25,B,965.92
19,A,903.37
94,A,864.11
75,B,959.69
116,B,992.91
30,A,911.87
52,A,1012.22
14,B,962.08
29,B,980.64
65,A,1058.98
9,B,974.17
102,B,969.99
113,A,972.9
126,A,992.59
81,B,964.02
61,A,972.36
3,B,977.22
57,A,976.63
80,B,967.68
121,B,971.09
60,B,964.59
89,A,966.73
22,B,980.13
31,B,998.99
27,A,886.28
8,B,956.92
86,A,1057.09
64,A,906.42
13,A,974.05
82,A,961.58
6,A,949.94
100,A,942.41
54,B,982.24
92,A,1023.59
88,B,960.57
20,B,974.76
120,B,986.36
7,A,1000.2
33,B,965
69,B,964.12
2,A,1050.77
105,A,969.49
101,B,993.71
97,B,998.99
70,B,962.25
78,B,960.59
84,A,926.68
12,A,878.05
47,A,991.99
71,B,955.38
127,B,967.12
95,B,978.79
42,A,1005.21
122,A,873.6
59,B,987.24
37,B,979.18
117,B,960.53
43,B,958.24
21,B,964.35
11,A,997.56
118,B,958.31
16,B,954.73
62,A,1042.31
5,A,905.33
36,B,982.8
23,B,954.32
107,A,974.65
66,A,897.16
73,B,965.23
124,B,938.87
32,B,978.61
