subject,condition,values
6,A,952.09
9,A,926.82
34,B,876.71
8,B,925.88
35,A,944.96
19,A,909.53
13,A,1021.9
31,B,747.07
7,B,783.91
25,A,943.82
1,B,1068.41
16,B,878.29
36,B,986.49
14,A,940.48
11,B,844.72
23,B,820.02
20,A,975.33
4,B,991.11
32,A,1004.98
41,B,971.15
39,A,914.32
27,A,986.16
28,A,911.69
42,B,689.61
17,B,1098.62
5,B,896.14
33,A,921.84
26,A,995.54
40,A,1000.22
10,A,908.8
21,A,974.8
24,A,965.68
38,A,1003.35
37,B,853.49
2,B,871.37
12,A,996.76
44,A,946.74
30,B,1037.26
18,B,975.68
29,B,1037.06
15,A,996.67
3,B,1143.99
43,B,936.1
22,B,1093.9
