subject,condition,values
116,A,704
15,B,652.23
219,B,651.04
20,B,654.41
61,B,636.65
4,A,626.89
64,A,642.88
28,B,630.39
168,B,645.63
85,A,650.31
163,B,621.89
109,A,642.11
36,A,621.55
141,B,696.23
53,A,656.52
12,B,667.15
129,A,647.78
231,B,642.45
170,B,699.82
98,B,735.8
125,B,664.29
182,B,649.26
154,A,646.78
207,A,731.9
58,B,717.35
113,B,632.69
45,A,680.82
215,A,741.1
17,A,651.65
55,A,801.64
47,B,607.5
123,B,637.51
25,A,656.41
211,B,619.71
213,A,613.03
195,A,650.82
11,B,610.63
130,A,631.54
43,A,750.58
91,A,660.22
224,B,627.08
39,A,689.18
131,A,722.29
16,B,615.53
51,B,782.57
38,B,659.66
105,A,701.5
26,A,709.83
97,B,684.32
139,B,582.56
59,B,549.84
77,B,647.5
62,B,686.8
48,B,674.5
150,B,667.96
101,B,708.33
92,B,673.03
209,B,675.15
194,B,658.69
106,A,634.16
232,B,607.75
225,B,688.36
184,A,659.07
189,B,614.95
114,B,733.21
142,B,608.55
71,B,684.78
202,B,659.69
127,A,618.21
228,A,751.92
196,B,618.79
214,B,620.78
75,B,644.14
115,B,683.31
174,B,697.83
42,A,702.31
146,A,683.91
216,B,642.37
110,B,611.33
190,A,650.7
167,A,623.51
24,B,621.11
78,A,687.31
103,A,616.42
82,A,743.93
34,A,657.31
173,B,638.89
104,B,760.52
112,A,653.74
9,A,605.9
89,B,654.66
208,B,743.21
222,A,693.73
126,A,777.54
107,A,700.37
99,A,651.62
161,A,657.92
56,B,585.83
147,A,696.28
32,A,841.75
66,B,681.02
210,A,706.92
74,B,614.08
13,B,629.07
136,A,653.43
29,B,721.11
100,A,612.31
95,B,683.48
193,A,687.42
158,B,718.22
166,A,675.44
133,B,661.95
35,A,638.12
108,A,851.76
60,B,713.13
132,B,751.94
165,A,754.15
137,B,665.79
175,B,543.56
87,B,683.31
226,B,734.3
234,B,637.09
188,B,710.6
153,B,616.21
2,A,644.23
102,A,649.82
217,A,608.94
40,A,616.68
157,A,643.56
159,A,650.07
187,B,642.25
90,A,660.43
67,A,655.68
69,A,750.78
221,A,714.91
1,A,680.9
27,A,660.2
235,B,684.96
19,A,621.17
172,B,686.64
81,B,656.41
3,B,605.66
76,B,611.85
178,A,766.89
52,B,592.8
21,A,644.08
181,B,673.95
83,B,634.86
144,A,730.63
177,A,762.83
191,A,704.41
44,A,636.94
31,A,723.75
204,B,689.74
7,B,733.72
94,A,692.42
86,B,726.01
10,B,551.32
124,A,642.81
176,A,647.31
128,A,613.92
5,B,706.21
65,B,702.01
152,A,748.28
179,B,704.5
57,B,614.51
93,A,643.87
120,B,664.26
171,B,690.02
205,B,759.88
164,B,637.74
180,A,718.57
212,B,769.79
79,A,621.64
49,B,702.16
206,A,670.72
111,A,684.55
117,B,730.68
148,A,731.31
118,B,660.15
23,B,632.39
192,A,642.47
162,B,676.49
88,B,753.96
186,A,683.52
37,B,650.57
138,B,639.36
227,A,760.62
72,B,714.72
33,B,713.1
220,A,640.7
201,A,619.74
46,B,655.48
149,A,634.13
218,B,694.59
68,B,737.35
156,B,627.84
143,B,645.57
22,A,668.18
169,A,625.36
233,B,703.78
122,A,754.04
200,A,639.69
73,A,711.32
155,B,693.44
229,A,707.78
41,B,597.03
8,B,656.26
140,A,617.82
203,A,713.56
183,A,681.37
198,B,619.8
6,B,663.74
145,B,696.8
70,A,614.9
63,B,652.82
121,B,636.29
199,B,605.47
230,B,666.6
185,B,665.85
50,B,658.43
135,B,681.2
134,B,654.37
119,B,640.42
84,A,647.67
160,B,691.88
14,B,689.2
30,B,606.31
80,B,648.94
54,A,612.02
96,B,717.18
223,B,706.4
18,B,659.31
197,A,748.66
151,A,689.67
