subject,treatment,values
38,B,959.49
135,A,975.02
94,B,998.85
117,B,1002.05
132,B,1013.1
28,A,957.85
74,B,964.32
121,B,1041.86
36,B,1046.38
75,B,997.71
49,B,1007.91
29,A,950.3
76,A,1018.24
81,B,994.44
84,B,967.85
134,A,976.86
21,B,996.23
120,A,1017.41
34,A,948.74
116,A,1013.14
130,A,972.6
101,A,1015.06
124,A,1000.8
69,B,987.11
78,B,960.77
100,B,1032.46
64,A,987.69
80,A,1000.73
42,B,996.46
30,B,983.69
72,A,1016.78
2,B,983.97
12,B,985.18
143,B,924.3
19,A,993.45
58,A,983.64
50,B,977.84
128,A,933.74
82,A,965.82
37,A,958.65
17,B,932.14
129,A,985.93
140,A,1024.83
48,B,979.56
52,B,982.94
87,B,1032.15
99,B,922.83
22,B,887.43
13,A,1009.29
5,B,993.63
68,A,1009.44
145,A,930.7
43,B,987.21
133,B,949.05
8,A,1010.39
46,B,1014.06
79,B,976.6
105,B,1006.25
10,A,995.25
51,B,969.08
147,A,969.14
112,B,989.23
104,B,938.98
53,B,1031.91
146,B,998.7
118,A,1022.29
47,A,954.92
70,B,1029.29
11,A,1016.58
85,B,965.59
16,B,1030.4
20,A,1018.7
137,A,1003.49
25,A,981.19
122,A,1018.73
102,B,897.55
95,A,1023.94
106,A,1023.9
107,B,1011.89
56,B,968.41
93,B,994.95
91,A,1027.18
73,B,974.93
39,B,1002.88
63,B,993.09
7,A,972
88,B,954.87
89,B,967.59
27,B,979.15
40,A,939.95
66,B,970.92
14,A,959.79
110,A,1002.89
138,B,939.14
142,A,939.53
126,B,989.51
98,B,958.2
57,B,1023.34
96,A,1019.17
131,B,984.8
114,A,1018.75
113,B,961.4
111,A,1019.33
26,B,965.17
62,A,967.44
115,A,997.19
119,A,1019.99
41,B,983.44
60,B,988.39
77,A,988.39
108,B,1024.05
65,A,992.47
4,B,996.93
144,A,1019.07
35,A,964.8
141,B,916.67
23,A,1011.01
83,A,1005.93
61,B,983.23
97,A,975.86
15,A,1010.39
44,B,1054.24
6,B,1004.15
24,A,1036.04
125,B,971.58
59,B,985.6
9,B,994.29
109,A,1003.46
71,B,947.88
67,B,966.62
90,A,988.29
1,A,1014.66
86,A,1019.9
127,A,975.25
33,A,984.86
45,B,1020.71
18,B,953.23
123,A,988.05
103,B,1001.32
31,B,997.1
139,B,964.63
55,B,989.52
92,B,1004.88
3,B,1032.64
148,A,979.62
32,B,972.35
54,A,963.08
136,B,929.28
