subject,condition,values
154,B,153.62
230,A,202.68
22,A,171.21
223,B,132.81
7,A,173.51
82,A,90.54
94,A,148.35
149,A,167.97
101,B,183.95
195,A,151.65
182,A,180.37
216,B,64.1
165,A,119.93
100,B,150.4
85,B,195.65
115,B,46.01
45,B,113.74
28,B,175.57
173,B,237.42
35,B,305.82
140,B,64.91
167,B,222.05
229,A,159.72
166,A,181.97
205,B,225.06
141,B,220.09
10,A,155.79
53,B,255.09
222,B,218.47
187,A,177.75
192,A,157.07
113,A,39.76
61,B,195.76
86,B,83.71
213,B,203.23
189,B,62.03
186,A,106.34
111,B,274.01
201,B,172.27
120,A,161.17
70,A,131.24
212,B,160.27
69,B,178.38
215,A,184.58
83,B,208.57
64,A,136.45
16,B,266.98
68,B,71.95
40,A,155.99
209,B,148.93
18,B,117.02
239,B,179.26
49,B,178.03
202,A,181.25
26,A,160.99
234,A,166.95
46,B,235.69
92,A,186.28
138,A,155.31
148,B,33.93
184,B,234.63
75,B,74.71
91,A,171.67
219,B,6.7
104,A,128.96
56,A,94.45
158,B,106.96
179,B,89.52
168,A,164.7
139,B,333.21
128,A,164.45
118,B,118.82
190,B,56.26
4,B,93.6
122,B,188.06
238,B,153.63
79,A,166.35
11,B,289.83
58,B,21.26
204,B,294.2
51,B,208.88
236,A,161.91
193,A,173.78
145,A,114.32
27,A,198.41
57,A,169.12
116,B,192.71
207,B,175.11
62,B,198.45
114,A,144.7
15,A,83.63
211,B,75.94
152,B,92.6
210,A,167.2
133,A,185.67
1,B,294.68
80,B,51.69
174,B,215.63
66,B,156.7
60,B,264.77
185,A,192.71
17,B,47.24
72,A,182.05
196,B,170.44
87,B,179.13
123,A,137.13
235,A,180.41
162,B,123.26
105,B,119.01
130,B,146.49
47,A,176.64
147,A,148.17
178,B,213.53
135,A,172.79
224,A,174.63
198,B,98.39
170,A,104.41
63,B,44.21
199,A,160.88
163,B,201.41
136,A,158.11
183,A,102.26
50,B,136.59
112,A,191.59
55,B,210.85
164,B,132.26
150,B,316.48
21,B,156.03
137,A,176.45
2,B,294.9
89,A,99.16
37,B,79.85
237,B,296.4
54,B,308.03
144,A,147.52
77,A,135.34
151,A,184.37
134,B,174.78
8,B,27.79
23,B,230.97
73,B,124.84
194,A,147.19
3,B,178.55
36,A,48.9
103,A,180.94
119,A,79.56
125,A,156.21
93,A,131.19
126,B,83.5
146,B,228.01
29,B,97.79
121,B,301.98
203,B,171.45
14,B,230.6
153,B,134.85
5,A,183.12
191,B,24.79
208,B,129.93
109,A,129.52
76,A,162.05
206,A,148.88
42,A,104.8
181,B,110.86
159,A,169.83
231,A,107.78
161,A,136.53
97,A,140.74
9,B,348.42
102,A,89.6
65,A,140.87
217,A,171.17
88,A,142.32
169,B,40.55
156,A,134.14
227,A,191.13
13,B,202.29
31,A,173.51
124,A,157.62
214,A,182.24
110,B,206.65
98,A,113.33
96,B,120.51
20,B,154.44
99,A,153.98
32,A,137.6
131,A,170.26
95,A,117.96
220,B,125.72
176,B,185.05
71,B,298.07
67,A,112.39
127,A,128.74
160,B,147.84
233,B,79.27
143,B,256.6
25,B,40.13
177,B,109.05
44,A,179.6
108,B,115.52
33,B,241.62
228,B,-32.27
24,B,126.09
188,B,162.42
197,B,51.33
142,A,192.61
52,B,198.14
48,A,168.21
221,A,120.79
38,B,60.75
200,A,173.1
78,B,100.46
43,B,154.14
12,B,78.19
107,A,85.76
225,B,30.28
157,B,-1.93
172,B,185.48
84,B,67.62
155,A,170.35
226,B,51.73
34,A,185.9
117,A,169.54
90,B,212.03
59,A,155.83
41,A,138.6
30,A,157.46
106,B,116.15
180,A,173.53
129,A,151.21
6,B,91.88
81,A,131.83
19,B,266.77
39,B,115.85
218,B,122.02
132,B,79.69
175,B,172.35
74,B,212.09
171,B,94.64
232,A,146.03
