subject,group,values
193,A,859.21
66,A,860.4
232,B,766.49
231,B,778.42
251,B,828.7
189,A,794.86
247,B,911.5
141,A,962.1
199,A,753.41
287,A,811.86
211,B,820.76
29,B,788.18
8,B,797.99
280,B,812.49
120,A,840.05
3,B,789.13
55,A,806.15
228,A,804.83
132,B,834.41
278,A,864.04
129,B,875.59
99,B,741.01
140,B,858.83
19,A,765.07
196,B,823.07
21,B,789.6
181,A,852.71
243,A,850.79
107,B,841.93
27,A,909.51
148,B,828.55
46,B,798.48
237,B,820.91
192,B,697.57
250,A,976.29
283,B,856.28
163,A,854.46
171,A,795.46
293,B,752.07
126,A,827.02
9,A,847.88
96,B,798.69
14,A,820.7
24,B,792.11
220,B,770.78
13,A,832.43
71,A,784.95
89,A,896.73
43,B,810.91
74,A,849.43
38,A,872.27
225,B,866.45
218,B,827.29
88,B,901
175,A,865.95
253,A,861.37
239,B,820.28
45,B,814.11
265,A,832.25
257,B,804.75
260,B,855.12
125,B,811.86
274,B,898.65
246,B,885.63
270,A,819.61
103,A,738.59
82,B,900.32
202,B,878.3
119,A,869.63
277,A,893.33
169,B,837.42
116,B,807.01
166,B,762.87
130,B,716.28
261,A,919.4
172,A,875.8
127,B,798.05
63,B,868.99
241,A,833.43
83,B,822.54
179,B,792.69
271,B,851.9
122,A,921.98
131,B,707.12
78,B,827.1
184,B,928.15
34,B,835.45
77,A,771.48
273,A,872.45
15,B,829.16
58,A,884.12
213,B,805.31
61,A,800.22
248,B,742.52
136,B,821.33
85,B,729.15
256,B,751.82
137,A,838.19
33,B,885.35
200,A,958.22
198,B,904.09
84,A,804.47
285,A,799.42
97,A,840.04
212,A,907.41
123,A,925.99
110,B,786.88
275,B,882.89
182,B,797.98
10,A,806.32
95,B,869.38
209,B,900.67
187,B,852.28
208,A,803.21
292,A,810.09
12,A,745.15
7,A,940.95
128,B,911.43
258,B,756.26
156,B,836.24
229,A,857.79
76,B,875.82
234,B,848.7
121,B,842.02
41,A,854.87
144,A,799.59
238,B,820
214,A,830.38
150,B,898.51
75,B,859.95
284,B,898.27
147,A,796.97
1,B,857.2
165,B,862.06
70,B,795.73
244,B,847.54
206,A,857.72
266,A,827.93
177,A,850.63
291,B,789.72
32,B,883.07
30,A,822.93
28,B,695.99
81,A,947.82
143,A,815.47
105,A,861
115,B,807.09
290,B,831.84
160,B,845.37
60,A,798.08
36,A,808.83
11,A,908.62
98,B,780.19
101,A,750.19
153,B,926.62
155,B,793.71
286,A,809.84
40,B,873.03
161,A,843.44
223,A,829.21
281,A,884.04
289,A,820.19
267,A,856.35
245,A,847.84
54,B,838.01
59,B,882.66
240,B,795.98
56,A,843.77
68,A,857.75
197,A,841.81
31,A,859.34
276,B,775.09
185,B,806.72
222,B,914.56
210,B,821.5
142,B,844.36
233,B,818.47
79,A,865.4
35,B,897.01
146,B,746.48
47,B,843.09
20,A,811.72
207,A,825.8
23,A,866.63
67,A,789.25
268,A,796.83
92,B,778.02
49,B,900.61
219,A,923.21
157,A,831.93
109,B,846.89
87,B,907.75
269,A,775
263,A,815.9
134,A,794.37
118,B,812.89
194,B,886.36
264,B,775.72
262,A,876.84
249,B,851.67
152,A,877.48
80,B,858.3
135,A,860.77
22,A,867.58
176,B,762.61
180,B,817.33
124,A,823.38
255,B,910.73
188,B,879.05
159,B,718.47
186,A,764.54
221,B,865.53
167,B,759.91
108,B,836.18
254,A,825.74
62,A,862.02
6,B,872.45
44,B,860.06
162,B,861.83
39,B,898.84
259,B,969.24
252,B,791.76
145,B,834.68
2,A,889.82
201,B,781.99
65,A,894.06
279,A,782.4
170,A,851.94
164,A,806.4
113,A,830.51
158,B,850.66
191,B,839.67
42,B,813.82
114,A,920.56
190,A,844.87
235,A,785.89
139,B,865.45
48,B,877.89
272,B,797.97
226,A,777.71
154,B,787.43
52,A,850.6
173,A,791.48
17,B,775.26
18,B,823.79
94,B,891.73
149,B,882.1
72,B,795.71
242,A,847.68
224,A,882.67
288,B,830.36
178,B,821.32
204,A,886.89
216,B,844.7
73,A,802.79
133,B,906.68
93,B,761.3
138,B,847.16
183,B,787
57,A,776.15
117,B,870.61
91,A,801.54
51,B,848.42
4,A,730.51
112,A,766.5
282,B,900.01
102,A,815.32
205,B,959
37,B,920.05
50,B,806.45
230,B,826.11
203,A,770.72
86,A,890.23
195,A,896.59
236,B,798.57
90,B,779.77
25,B,905.98
168,B,793.06
104,B,861.34
69,B,803.48
26,A,853.71
16,A,860.5
64,A,931.5
106,B,856.86
53,B,785.87
215,A,887.64
111,A,906.09
217,B,796.74
151,A,741.84
5,B,840.88
227,A,819.65
100,A,828.75
174,B,835.85
