subject,condition,values
70,A,688.03
73,A,773.61
226,B,874.54
59,B,641.83
42,A,716.56
200,B,826.66
99,B,804.45
115,B,870.35
19,B,849.81
122,B,777.26
13,B,676.43
31,B,752.69
71,B,645.62
153,A,704.55
192,A,665.62
168,A,773.17
1,A,728.11
106,A,544.15
208,B,795.44
39,B,695.21
14,B,899.03
43,B,634.4
159,B,744.05
87,B,615.84
20,B,557.78
160,B,708.28
132,B,931.65
7,A,641.52
40,A,667.81
147,B,572.93
230,B,817.97
4,B,928.52
116,A,730.3
150,A,656.07
193,A,682.04
118,B,981.74
17,B,629.81
69,B,818.92
144,B,876.82
135,A,606.58
234,B,733.09
145,A,755.89
181,A,734.57
201,B,733.77
66,B,921.41
97,A,640.33
94,B,910.96
222,B,902.27
141,B,538.6
12,A,755.42
243,B,781.71
125,A,754.97
76,B,718.95
15,A,671.74
219,B,656.48
91,B,683.68
35,B,659.03
58,B,742.26
231,A,764.91
60,B,821.84
33,A,715.52
61,A,635.25
179,A,749.8
161,B,635.57
108,A,686.24
188,A,730.02
103,A,716.21
191,B,680.24
236,B,480.89
209,A,766.12
203,B,582.73
81,A,739.81
5,A,736.46
186,B,821.47
199,A,660.21
36,B,923.39
126,A,770.81
216,B,573.18
198,B,1148.58
93,B,796.98
64,B,521.83
55,B,830.45
165,A,705.42
164,B,694.75
183,B,823.37
195,B,655.86
167,A,733.88
242,A,736.85
18,B,790.33
16,A,625.53
56,B,612.82
190,A,703.92
235,A,758.74
128,B,730.62
95,B,774.68
96,B,566.14
84,B,554.79
130,B,630.08
178,A,774.62
86,B,845.51
172,B,667.39
149,B,942.72
52,A,717.62
175,B,910.75
238,B,763.39
224,B,599.44
207,A,747.59
138,B,686.72
218,B,480.29
171,B,529.97
44,A,770.22
111,B,692.75
48,A,607.77
194,A,764.02
237,B,663.23
140,A,680.16
142,B,1061.89
213,A,617.08
217,B,752.09
98,A,766.32
169,A,743.96
22,A,673.29
210,B,629.33
185,A,672.02
25,B,731.53
88,B,419.54
45,B,608.94
21,B,931.19
46,B,587.59
184,A,694.05
83,A,712.19
148,B,426.82
170,B,906.66
101,B,871.48
57,B,808.21
49,A,671.19
189,B,945.72
105,A,644.82
109,B,705.64
62,B,745.64
51,B,680.48
112,A,762.48
47,B,574.69
26,A,773.4
182,B,552.28
100,A,733.94
23,B,770.12
180,B,956.36
38,B,867.56
92,B,866.02
221,A,592.8
34,B,658.23
139,A,707.95
212,B,831.7
53,B,862.15
114,B,756.11
155,A,686.64
37,B,881.53
77,A,754.58
220,B,560.96
24,B,958.72
206,B,673.15
120,B,1031.86
107,B,680.34
176,A,718.8
82,B,685.21
233,B,674.83
80,B,631.9
11,A,751.02
9,B,560.82
204,B,923.58
177,A,756.67
113,A,647.3
223,B,872
196,A,737.84
136,B,903.99
215,B,773.82
154,A,645.04
156,A,704.4
133,B,679.01
90,B,641.9
158,B,499.08
79,A,683.75
65,B,766.76
129,B,650.99
28,A,755.85
166,B,652.51
173,B,748.34
68,B,572.49
102,B,716.99
27,B,737.37
157,B,647.23
63,A,642.97
85,B,966.54
74,A,716.89
54,A,703.46
240,B,778.54
197,A,661.12
78,A,653.94
6,A,696.12
228,A,753.5
174,A,644.02
187,A,712.42
225,A,612
162,B,549.98
72,B,814.89
29,B,1004.13
119,B,780.26
89,B,701.39
229,B,581.42
117,B,972.34
8,A,690.36
75,B,634.27
123,A,733.38
124,A,771.55
232,A,716.75
163,A,758.03
134,A,773.83
202,A,761.8
227,B,649.31
127,A,654.23
241,B,713.9
30,B,728.47
2,B,898.37
214,A,751.08
104,B,744.25
137,B,596.42
41,B,698.1
152,A,649.76
3,B,593.49
32,B,763.54
146,B,585.03
110,A,705.46
151,A,701.89
131,B,749.5
10,A,731.12
239,A,738.75
211,A,765.85
143,A,714.57
67,B,660.06
121,B,901.39
50,A,648.23
205,B,769.24
