subject,treatment,values
51,A,634.06
61,B,681.88
101,A,702.9
121,B,576.83
88,A,621.53
42,B,523.42
108,A,692.36
138,A,634.08
116,A,640.94
47,A,590.12
140,B,426.24
136,B,756.87
68,A,635.52
155,A,662.24
38,A,714.64
86,B,498.88
57,A,602.89
94,B,544.44
142,B,616.94
104,B,573.77
2,B,597.13
106,B,619.42
15,A,606.06
39,A,590.2
56,A,645.32
54,B,532.08
146,B,589.92
96,B,591.55
25,B,551.51
35,A,689.87
149,A,730.04
53,A,685.2
7,B,700.08
156,B,535.9
6,A,602.39
78,B,554.08
151,A,644.61
81,B,606.84
135,A,561.86
97,B,752.74
75,B,1002.71
44,B,515.17
79,A,674.07
52,A,710.82
10,B,434.45
98,B,573.7
83,B,514.92
70,B,627.79
34,A,667.99
139,B,585.5
150,A,601.07
40,B,752.13
30,B,592.07
76,A,664.24
16,A,720.32
12,A,661.75
21,B,521.27
64,B,477.98
137,B,704.21
92,A,638.71
133,B,617.11
65,A,673.27
99,A,697.41
29,A,648.94
18,A,619.61
59,A,639.44
84,A,579.86
130,A,658.54
22,B,598.69
48,B,674.88
132,B,689
141,A,569.15
24,B,492.7
89,B,557.43
109,A,661.07
158,B,492.36
143,B,596.52
117,B,701.16
147,A,650.57
55,B,570.2
28,B,583.11
13,A,704.07
105,B,626.91
145,B,623.54
90,B,512.09
82,A,589.58
63,B,514.27
119,A,701.2
100,A,683.69
46,B,726.35
110,B,617.06
72,B,575.74
144,B,833.22
125,B,494.75
87,A,659.26
80,B,608.1
73,B,579.12
118,B,670.38
102,A,694.22
107,B,647.1
93,B,566.96
152,B,527.63
17,B,821.79
131,B,643.44
33,B,706.24
27,B,657.19
9,B,491.17
127,B,517.15
67,A,649.34
37,A,567.89
111,B,762.31
91,B,506.58
4,B,513.8
62,B,798.28
50,B,901.29
120,A,649.84
41,B,750
113,B,529.95
14,B,482.25
20,B,484.8
31,B,458.24
36,B,866.09
66,B,462.99
126,A,662.62
11,A,699.7
85,A,679.86
134,B,616.89
26,A,769.1
129,B,637.47
148,B,614.32
1,B,469.87
122,A,685.71
19,A,580.15
60,A,658.52
8,A,631.33
77,A,709.46
71,B,520.43
43,B,597.27
153,A,577.42
49,B,490.78
154,A,660.94
45,A,601.62
23,B,578.6
69,B,779.1
112,A,589.3
95,B,575.4
124,B,710.22
3,B,493.98
128,B,599.89
5,A,517.82
58,B,775.22
74,A,634.78
114,A,626.48
103,B,452.03
123,B,497.24
115,B,477.88
157,B,459.65
32,B,491.73
