subject,condition,values
4,A,1152.25
26,A,635.81
21,B,971.15
3,A,644.95
23,B,946.72
27,A,1046.48
40,B,976.41
5,B,929.9
42,B,979.65
28,B,983.86
29,B,1000.11
34,B,927.33
36,B,934.14
7,B,966.64
2,A,922.31
37,A,857.85
30,A,888.19
13,A,898.32
39,B,945.82
31,A,927.2
44,B,1012.87
10,A,988.27
25,A,949.61
38,B,937.45
17,A,701.06
33,B,1056.49
41,B,982.07
35,A,845.94
16,A,1048.55
19,B,862.67
9,A,1179.53
18,A,798.88
8,A,999.78
32,A,887.94
24,A,1073.87
11,B,902.09
14,B,1069.12
12,A,1114.5
20,B,950.13
1,A,851.33
22,B,993.99
15,B,1056.62
6,A,948.69
43,B,1020.35
