subject,condition,values
76,A,251.1
161,A,32.74
240,A,559.5
254,B,307.39
56,A,146.66
221,B,301.5
201,B,298.22
131,A,161.14
66,B,316.45
207,A,432.73
255,B,243.66
162,B,293.03
176,A,446.82
205,A,416.2
148,B,354.86
30,A,77.31
57,B,270
197,A,130.09
48,B,364.3
35,B,223.84
13,B,333.58
122,B,302.76
116,B,284.96
70,A,316.91
3,B,251.44
67,A,515.18
126,A,261.89
149,B,166.3
174,A,247.59
226,B,237.71
143,B,302.68
84,A,171.07
60,A,586.69
229,B,283.58
64,A,508.47
99,A,198.16
237,B,263.57
96,B,254.02
81,B,282.04
82,B,277.35
22,A,228.28
47,B,308.21
137,A,646.15
74,B,183.83
75,B,318.4
208,B,342.91
127,B,243.75
166,A,67.25
134,B,288.34
6,B,353.44
7,A,723.68
34,B,199.27
4,A,313.41
45,A,86.39
203,A,663.09
39,B,268.46
77,A,282.88
72,A,309.91
87,A,199.24
115,B,260.23
238,B,217.69
65,B,249.06
147,B,236.87
106,A,505.96
114,A,457.06
219,A,463.58
54,B,267.71
69,A,228.68
20,A,313.4
128,B,260.02
42,B,220.44
206,B,223.11
259,A,460.37
105,B,311.21
136,A,148.58
241,B,268.08
53,A,391.34
113,B,245.46
58,B,291.43
14,B,262.58
182,A,121.56
108,A,87.5
62,A,505.44
171,B,292.58
43,A,238.77
18,A,353.5
246,B,231.67
33,B,267.31
195,B,198.64
110,B,219.99
170,B,249.4
120,A,436.09
244,B,329.7
165,A,397.24
247,A,537.28
189,A,646.83
21,B,268.74
214,A,493.91
104,A,43.64
146,B,266.82
262,A,153.73
44,B,259.6
181,A,428.25
92,A,585.95
2,B,266.6
111,A,222.96
180,B,247.86
236,B,209.75
191,A,303.65
157,A,547.3
23,B,289.19
212,B,322.36
125,B,234.6
15,B,268.61
185,B,292.89
36,B,283.82
1,B,233.34
211,B,229.45
50,A,365.73
41,A,54.14
172,B,279.04
169,B,262.13
151,A,605.55
160,B,259.88
10,B,253.25
59,B,231.53
31,B,260.82
132,A,324.53
200,A,655.69
239,A,598.12
49,B,237.61
231,B,296.04
218,A,223.99
139,A,230.07
156,B,268.8
93,B,253.19
216,B,289.19
91,A,97.07
196,A,96.96
28,B,214.13
88,A,41.66
233,B,348.87
11,B,224.29
61,B,287.9
227,B,289.04
252,A,201.4
202,A,241.34
159,A,481.48
129,B,309.59
103,B,235.54
68,B,266.71
141,B,344.84
204,B,243.58
192,B,228.66
101,A,376.41
29,A,125.21
94,A,947.92
232,B,273.74
158,B,294.69
155,A,269.09
256,B,301.64
97,B,320.35
138,A,45.47
27,A,261.52
217,A,590.41
32,A,205.64
230,A,236.18
40,A,354.93
107,A,273.8
251,A,126.92
224,B,272.37
250,B,187.49
25,B,214.83
17,B,281.15
117,A,380.14
26,A,428.73
100,A,160.67
154,A,256.05
225,A,127.81
198,B,270.64
52,A,189.39
16,A,542.01
152,A,601.76
184,B,255.66
257,B,235.79
167,B,257.74
135,B,156.02
228,A,214.67
144,A,252.51
145,B,289.31
243,A,353.72
119,B,333.75
102,A,281.74
38,B,234.48
173,A,335.4
194,A,96.68
178,B,344.88
78,B,284.87
63,B,248.38
123,A,306.07
215,B,218.74
85,A,385.27
124,B,214.21
199,B,239.21
186,B,295.29
73,B,280.96
220,A,594.09
235,A,85.18
179,B,304.18
19,A,246.26
133,A,91.49
80,B,317.7
248,B,216.12
95,A,413.08
223,A,466.06
258,B,304.32
37,A,233.84
86,A,274.71
140,A,267.57
8,B,197.06
24,B,194.54
12,A,585.25
98,A,285.3
249,B,205.25
112,B,326.06
245,A,381.16
210,A,255.99
51,A,275.26
260,A,533.56
168,B,300.94
150,A,73.03
55,A,819.84
118,A,856.91
5,B,352.37
193,B,266.57
164,A,289.92
242,A,106.97
71,A,109.76
109,A,151.36
187,A,337.77
261,B,397.09
9,A,123.11
188,B,266.06
90,A,94.4
163,A,419.26
46,A,298.63
130,A,408.12
121,A,190.71
177,A,183.51
83,B,258.39
234,B,221.76
253,B,279.31
153,A,184.48
175,B,282.49
209,A,78.27
79,A,268.62
183,B,248.98
89,A,380.62
213,B,262.66
222,B,265.11
142,A,175.18
190,A,473.56
