subject,group,values
206,B,133.17
200,A,153.12
196,B,140.93
17,B,134.22
84,A,140.14
53,A,141.67
248,B,113.23
32,B,119.61
238,A,147.32
78,B,148.11
277,B,133.84
141,A,132.13
258,A,145.34
190,A,153.39
97,B,139.93
201,A,146.62
74,B,136.39
234,B,146.83
167,B,132.13
152,B,125.84
293,A,147.05
218,B,148.52
51,A,103.06
18,A,145.97
178,A,133.56
185,B,116.5
13,B,137.32
65,A,123.39
188,A,141.57
240,B,138.46
50,A,135.43
88,A,135.72
81,B,109.43
63,A,133.78
230,B,143.97
60,B,136.46
251,A,144.56
171,A,139.06
130,B,121.32
283,A,131.99
155,A,140.31
112,B,100.36
33,A,136.1
6,B,150.36
163,A,122.98
195,A,118.98
66,A,134.57
10,A,146.54
75,B,134.53
280,A,137.62
110,A,117.47
114,B,131.68
83,A,147.77
170,A,140.57
7,A,126.31
25,B,136.81
54,B,160.39
229,B,132.1
1,A,149.49
149,B,109.44
161,B,149.44
295,B,115.41
264,A,131.85
153,B,149.07
128,B,117.57
148,A,147.03
222,B,142.26
72,A,100.78
257,A,150.21
279,A,124.13
143,B,124.5
46,A,148.48
211,A,139.73
96,B,122.71
40,A,145.08
39,A,141.43
288,B,141.23
106,B,129.31
11,B,143.27
58,B,111.23
220,B,127.11
281,A,107.56
118,B,129.66
119,A,129.47
90,A,115.74
91,A,149.15
140,B,135.39
202,B,150.39
111,B,127.48
80,A,142.79
217,B,125.05
67,A,102.86
89,B,151.34
272,A,147.25
210,B,138
38,B,150.23
24,A,140.61
44,A,142.39
252,B,133.74
271,A,152.58
183,A,119.39
104,B,133.66
70,A,142.98
135,B,117.09
29,A,133.24
3,B,128.12
5,B,128.46
21,A,142.58
221,B,128.94
125,B,140.12
61,B,142.12
138,B,137.41
214,B,137.43
223,A,146
2,B,134.6
126,A,139.78
124,B,153.45
245,A,123.82
268,B,153.67
116,B,129.88
142,B,128.61
4,B,155.33
107,A,128.23
208,B,121.59
102,B,107.96
177,B,137.09
166,B,122.51
269,B,125.45
182,A,148.74
154,A,147.8
246,B,137.24
255,A,143.13
28,B,128.29
160,A,130.61
95,A,140.95
242,B,147.52
129,A,137.92
273,A,135.14
228,B,118.48
132,A,140.61
103,B,121.54
92,A,132.89
115,A,149.68
109,A,128.6
256,A,143.7
100,B,120.81
147,B,145.02
292,B,138.71
68,B,147.21
64,A,141.73
189,B,132.43
261,A,148.75
150,B,118.13
227,B,128.27
99,A,134.61
137,A,144.3
43,A,151.69
204,B,126.13
157,A,126.11
172,B,135.47
56,B,144.09
73,B,136.82
85,B,120.87
145,B,168.01
173,B,138.28
93,B,144.25
133,A,130.39
270,B,138.31
62,B,128.16
15,B,128.54
59,A,134.61
8,B,128.97
174,A,137.18
266,A,146.12
36,B,125.05
19,B,126.89
191,A,138.33
34,B,148.57
98,A,143.28
87,B,147.88
263,B,136.83
52,A,136.54
121,B,124.5
286,B,137.55
48,B,159.01
244,B,146.25
212,A,138.73
205,B,122.89
165,A,136.97
94,B,146.32
23,B,128.92
193,A,147.73
236,A,104.17
209,B,128.65
164,B,108.79
216,A,144.81
76,A,133.98
207,B,109.7
117,A,147.77
27,B,126.79
69,A,130.96
151,B,139.95
282,A,105.65
136,A,151.03
158,A,125.89
259,B,132.69
86,A,141.12
231,B,115.66
186,B,126.29
139,B,120.77
179,A,122.68
42,B,135.14
235,B,136.09
239,B,143.04
77,A,148.42
156,B,132.29
134,A,146.92
203,A,137.86
226,A,117.83
101,B,130.75
20,B,134.17
108,A,142.13
289,B,129.4
276,B,124.51
26,B,123.23
37,B,144.66
232,B,144.85
275,B,131.89
187,B,123.21
198,A,151.59
82,A,133.65
294,A,147.63
175,B,118.73
247,B,125.22
233,A,148.2
181,B,137.95
253,A,144.17
146,A,134.61
194,B,122
127,B,120.71
215,B,145.97
123,A,113.42
192,A,143.35
225,B,136.42
31,B,133.76
249,B,137.93
162,B,133.54
71,B,132.98
55,B,124.99
197,B,139.68
49,B,148.49
237,B,143.97
45,B,132.61
22,A,135.18
260,B,153.08
35,A,126.36
120,A,124.68
47,B,125.74
14,A,149.98
284,A,150.45
41,B,120.95
9,B,131.23
290,A,148.65
241,B,124.58
105,A,129.62
267,A,142.92
224,B,116.18
169,B,131.13
199,B,159.17
184,A,144.07
274,B,133.55
254,A,120.7
180,B,126.94
265,A,131.99
262,A,141.66
131,A,128.71
243,B,118.52
113,B,126.31
57,A,121.06
16,B,113.89
12,B,107.56
278,B,122.38
219,A,143.54
287,B,131.63
159,B,132.91
122,B,113.02
144,B,140.23
250,A,130.23
285,B,138.33
30,A,146.16
291,A,149.22
168,A,139.34
213,A,144.43
176,A,140.28
79,B,131.39
